交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
398,多头出场,开盘价,,,,,,,,,,,
398,多头进场,l,2024-12-16 00:00,0.010056,,,,,,,,,
397,多头出场,s,2024-12-15 23:00,0.010350,9944.311,2.92,2.92,373.88,0.62,2.92,2.92,0.45,0.45
397,多头进场,l,2024-12-15 20:00,0.010056,9944.311,2.92,2.92,373.88,0.62,2.92,2.92,0.45,0.45
396,多头出场,s,2024-12-15 20:00,0.010410,10065.425,4.78,4.78,370.96,1.03,4.78,4.78,1.15,1.15
396,多头进场,l,2024-12-15 17:00,0.009935,10065.425,4.78,4.78,370.96,1.03,4.78,4.78,1.15,1.15
395,多头出场,s,2024-12-15 00:00,0.009810,10406.91,2.09,2.09,366.18,0.45,2.09,2.09,4.45,4.45
395,多头进场,l,2024-12-14 16:00,0.009609,10406.91,2.09,2.09,366.18,0.45,2.09,2.09,4.45,4.45
394,多头出场,s,2024-12-14 13:00,0.009778,10255.358,0.28,0.28,364.08,0.06,0.82,0.82,4.37,4.37
394,多头进场,l,2024-12-13 11:00,0.009751,10255.358,0.28,0.28,364.08,0.06,0.82,0.82,4.37,4.37
393,多头出场,s,2024-12-13 08:00,0.010010,10195.758,2.06,2.06,363.81,0.45,2.06,2.06,1.57,1.57
393,多头进场,l,2024-12-13 04:00,0.009808,10195.758,2.06,2.06,363.81,0.45,2.06,2.06,1.57,1.57
392,多头出场,s,2024-12-13 02:00,0.010137,10205.122,3.45,3.45,361.75,0.75,3.45,3.45,1.28,1.28
392,多头进场,l,2024-12-12 21:00,0.009799,10205.122,3.45,3.45,361.75,0.75,3.45,3.45,1.28,1.28
391,多头出场,s,2024-12-12 13:00,0.010132,10107.135,2.41,2.41,358.30,0.53,2.41,2.41,3.84,3.84
391,多头进场,l,2024-12-12 07:00,0.009894,10107.135,2.41,2.41,358.30,0.53,2.41,2.41,3.84,3.84
390,多头出场,s,2024-12-11 21:00,0.009812,8833.141,-13.33,-13.33,355.89,-2.84,3.78,3.78,24.24,24.24
390,多头进场,l,2024-12-09 13:00,0.011321,8833.141,-13.33,-13.33,355.89,-2.84,3.78,3.78,24.24,24.24
389,多头出场,s,2024-12-08 19:00,0.010824,9378.223,1.51,1.51,369.22,0.32,1.51,1.51,0.46,0.46
389,多头进场,l,2024-12-08 16:00,0.010663,9378.223,1.51,1.51,369.22,0.32,1.51,1.51,0.46,0.46
