交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
1169,多头出场,开盘价,,,,,,,,,,,
1169,多头进场,l,2024-12-30 21:00,0.007707,,,,,,,,,
1168,多头出场,s,2024-12-30 18:00,0.007914,12442.453,-1.53,-1.53,702.36,-0.19,2.24,2.24,5.06,5.06
1168,多头进场,l,2024-12-29 08:00,0.008037,12442.453,-1.53,-1.53,702.36,-0.19,2.24,2.24,5.06,5.06
1167,多头出场,s,2024-12-28 17:00,0.007961,12843.565,2.25,2.25,703.89,0.28,2.39,2.39,0.51,0.51
1167,多头进场,l,2024-12-28 05:00,0.007786,12843.565,2.25,2.25,703.89,0.28,2.39,2.39,0.51,0.51
1166,多头出场,s,2024-12-27 12:00,0.007817,13017.443,1.76,1.76,701.64,0.22,2.27,2.27,0.34,0.34
1166,多头进场,l,2024-12-27 10:00,0.007682,13017.443,1.76,1.76,701.64,0.22,2.27,2.27,0.34,0.34
1165,多头出场,s,2024-12-27 10:00,0.007792,12983.64,1.17,1.17,699.88,0.15,2.05,2.05,2.00,2.00
1165,多头进场,l,2024-12-26 20:00,0.007702,12983.64,1.17,1.17,699.88,0.15,2.05,2.05,2.00,2.00
1164,多头出场,s,2024-12-26 18:00,0.007911,11936.022,-5.57,-5.57,698.72,-0.69,2.98,2.98,8.94,8.94
1164,多头进场,l,2024-12-24 22:00,0.008378,11936.022,-5.57,-5.57,698.72,-0.69,2.98,2.98,8.94,8.94
1163,多头出场,s,2024-12-24 00:00,0.007867,12667.848,-0.34,-0.34,704.29,-0.04,1.85,1.85,1.82,1.82
1163,多头进场,l,2024-12-23 18:00,0.007894,12667.848,-0.34,-0.34,704.29,-0.04,1.85,1.85,1.82,1.82
1162,多头出场,s,2024-12-22 18:00,0.007956,12661.433,0.73,0.73,704.63,0.09,0.97,0.97,6.03,6.03
1162,多头进场,l,2024-12-21 20:00,0.007898,12661.433,0.73,0.73,704.63,0.09,0.97,0.97,6.03,6.03
1161,多头出场,s,2024-12-21 13:00,0.008343,12025.012,0.32,0.32,703.90,0.04,2.44,2.44,16.44,16.44
1161,多头进场,l,2024-12-20 14:00,0.008316,12025.012,0.32,0.32,703.90,0.04,2.44,2.44,16.44,16.44
