time,open,high,low,close,Volume,Plot,Plot
1725260400,21.75,21.81,21.52,21.59,51915.44,21.427222147213552,22.14202919829103
1725264000,21.6,22.13,21.6,21.94,93940.85,21.61698884453446,22.30149870932064
1725267600,21.94,22.19,21.79,22.18,60099.49,21.75295847341537,22.406815481092263
1725271200,22.17,22.36,22.12,22.28,84177.92,21.798393575383056,22.42038774739088
1725274800,22.28,22.35,22.17,22.19,39494.37,21.770175623636558,22.359884507996725
1725278400,22.18,22.25,22.06,22.13,43295.79,21.76407530480896,22.323762742937653
1725282000,22.13,22.17,21.93,21.95,38302.93,21.699717994712117,22.229508188393943
1725285600,21.96,22.26,21.84,22.2,70746.1,21.86807163485782,22.374967701437278
1725289200,22.21,22.24,22.06,22.06,36420.77,21.85380893401431,22.334767409715305
1725292800,22.07,22.18,21.95,21.98,35993.4,21.78645373785091,22.241705575228487
1725296400,21.98,22.19,21.98,22.14,40739.02,21.86294546791797,22.304621133936518
1725300000,22.14,22.21,22.04,22.12,56274.07,21.87445064352513,22.316358737333715
1725303600,22.11,22.16,22.05,22.09,19652.68,21.86934413774896,22.3111490698247
1725307200,22.1,22.53,22.1,22.43,91671.54,22.08710852440049,22.53331273701464
1725310800,22.44,22.57,22.34,22.43,76981.95,22.110408021847764,22.55708293138004
1725314400,22.43,22.49,22.37,22.47,33698.86,22.226060698686137,22.67507202593232
1725318000,22.47,22.51,22.32,22.37,24630.31,22.145696189429422,22.593083991236078
1725321600,22.37,22.46,22.29,22.45,26653.78,22.20246235459747,22.650996947619642
1725325200,22.46,22.55,22.39,22.54,38438.89,22.251767710672162,22.70129837149382
1725328800,22.54,22.73,22.51,22.53,77163.28,22.23072801379534,22.679833630235652
1725332400,22.53,22.65,22.46,22.52,60436.2,22.17276631085167,22.620700983798173
1725336000,22.52,22.54,22.35,22.41,30120.38,22.172026591635458,22.619946320759404
1725339600,22.41,22.51,22.34,22.5,21985.97,22.2057705176255,22.654371942223992
1725343200,22.5,22.5,22.28,22.29,38681.67,22.088186057491864,22.534412038451297
1725346800,22.29,22.55,22.28,22.52,43547.32,22.174438644359196,22.622407101821
1725350400,22.52,22.53,22.14,22.19,46244.49,22.048839038738233,22.494270130429914
1725354000,22.19,22.31,22.17,22.22,38677.61,22.081138256479917,22.52722185762093
1725357600,22.23,22.43,22.19,22.35,30936.87,22.15638947964334,22.603993307514923
1725361200,22.35,22.43,22.27,22.39,31495.26,22.160160325890207,22.607840332473845
1725364800,22.4,22.51,22.37,22.39,37622.53,22.18936077610423,22.637630690773
1725368400,22.39,22.5,21.9,21.99,97850.29,21.907911612416516,22.35049568539463
1725372000,21.99,21.99,21.68,21.75,100249.07,21.632410958653026,22.069429361858134
1725375600,21.74,21.85,21.54,21.6,83701.04,21.610018587045285,22.109372430897235
1725379200,21.59,21.69,21.52,21.57,54335.66,21.58014825032183,22.08918779885781
1725382800,21.57,21.78,21.54,21.62,34155.84,21.57441926982968,22.057593528952964
1725386400,21.62,21.75,21.55,21.73,39347.72,21.66186195756255,22.122480030441192
1725390000,21.73,21.88,21.67,21.82,52388.98,21.711261767819224,22.149873116664054
1725393600,21.82,21.83,21.62,21.7,44014.87,21.71060181669999,22.252078576466
1725397200,21.7,21.7,21.52,21.63,35762.33,21.640912644331053,22.20782871123435
1725400800,21.62,21.63,21.49,21.51,29072.58,21.520765083456045,22.07754805646763
1725404400,21.51,21.53,21.33,21.38,72616.38,21.368519888323444,21.893382304944897
1725408000,21.38,21.6,21.19,21.23,73721.99,21.230710084315515,21.725809664801442
1725411600,21.23,21.29,20.48,21.25,326728.62,21.094073993728422,21.561119275696093
