time,open,high,low,close,Volume,Plot,Plot
1716685200,38.06,38.26,38.05,38.08,17169.55,37.80946036594771,38.573287848088064
1716688800,38.08,38.09,37.62,37.79,42682.8,37.64222023835658,38.40266913206076
1716692400,37.79,37.93,37.6,37.87,38830,37.70129642533468,38.46293877736165
1716696000,37.86,37.86,37.6,37.66,18703.23,37.61603392088666,38.37595379807629
1716699600,37.66,37.77,37.57,37.76,22695.5,37.669979698709874,38.4309893895929
1716703200,37.76,37.82,37.64,37.68,14807.78,37.61814357127756,38.378106067667005
1716706800,37.69,37.91,37.55,37.64,41973.19,37.657253208058485,38.51283266376554
1716710400,37.64,37.67,37.27,37.39,56635.41,37.410044235602065,38.49108368820059
1716714000,37.39,37.51,37.08,37.23,63358.71,37.251734430434766,38.51009682748696
1716717600,37.24,37.38,37.21,37.28,35556.88,37.30137044437088,38.51690802644319
1716721200,37.29,37.39,37.22,37.35,29078.12,37.24377595522107,38.395815135506815
1716724800,37.35,37.35,37.07,37.15,33307.95,37.159669770816,38.25079169132491
1716728400,37.16,37.2,36.92,37.1,40422.21,37.12146637887715,38.35330404864742
1716732000,37.1,37.34,36.92,37.31,48027.63,37.192505148466175,38.36401852914924
1716735600,37.31,37.42,36.71,36.88,98488.2,36.90089237908448,38.07667650947719
1716739200,36.87,37.04,36.74,36.84,45004.07,36.86034213070523,37.981346443240774
1716742800,36.84,36.89,36.7,36.81,38218.8,36.818736625144474,37.881680510907174
1716746400,36.81,36.91,36.72,36.86,36126.44,36.79997518095079,37.80852940290957
1716750000,36.87,37.04,36.87,36.97,18458.72,36.826417753152015,37.784576233054416
1716753600,36.97,36.97,36.8,36.81,16953.4,36.70275266626622,37.609356845894126
1716757200,36.8,36.94,36.46,36.94,56983.87,36.5781963590614,37.43601773536013
1716760800,36.93,37.03,36.82,36.94,26131.35,36.589363555208685,37.40406500445984
1716764400,36.92,36.94,36.69,36.76,29314.17,36.54222038192052,37.314759514703674
1716768000,36.76,36.97,36.67,36.94,32084.15,36.695268856675476,37.4365874194366
1716771600,36.94,37.28,36.91,37.17,33275.15,36.802361665077385,37.545843718917325
1716775200,37.17,37.25,37.01,37.13,38301.89,36.79487688793336,37.538207734154234
1716778800,37.13,37.35,37.1,37.24,32339.58,36.6609491349291,37.40157436997818
1716782400,37.24,37.43,37.17,37.23,28513.39,36.6084246200586,37.34798875379715
1716786000,37.23,37.27,36.65,36.94,66568.09,36.47842502936179,37.21536290874283
1716789600,36.94,36.96,36.69,36.76,26387.8,36.40486419528706,37.140315997212056
1716793200,36.75,37.02,36.66,37,52537.71,36.53382544470899,37.27188252440008
1716796800,36.99,37.29,36.98,37.21,43966.59,36.53633261811047,37.274440347769264
1716800400,37.21,37.39,37.1,37.31,51156.86,36.54372080081596,37.28627716675369
1716804000,37.3,37.36,37.2,37.33,52273.26,36.54565198714032,37.30562070099867
1716807600,37.34,37.54,37.27,37.41,46837.35,36.39504565586625,37.376822281293904
1716811200,37.4,37.48,37.3,37.37,30762.45,36.55030648411709,37.486341861326956
1716814800,37.37,37.75,37.37,37.67,55160.85,36.771191936888435,37.665227079671546
1716818400,37.66,37.9,37.55,37.84,90488.64,37.133497708467566,37.99067853195391
1716822000,37.84,38.48,37.83,38.44,134052.39,37.65577661172557,38.48107547278283
1716825600,38.43,38.95,38.43,38.63,148342.79,37.42244577606358,38.5892104850558
