交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
941,多头出场,开盘价,,,,,,,,,,,
941,多头进场,l,2024-12-31 06:00,35.97,,,,,,,,,
940,多头出场,s,2024-12-31 01:00,36.30,2.808,1.94,1.94,6.65,1.85,1.94,1.94,2.08,2.08
940,多头进场,l,2024-12-30 21:00,35.61,2.808,1.94,1.94,6.65,1.85,1.94,1.94,2.08,2.08
939,多头出场,s,2024-12-30 14:00,36.68,2.767,1.52,1.52,4.72,1.47,1.52,1.52,0.14,0.14
939,多头进场,l,2024-12-30 12:00,36.13,2.767,1.52,1.52,4.72,1.47,1.52,1.52,0.14,0.14
938,多头出场,s,2024-12-30 09:00,36.89,2.689,-0.78,-0.78,3.19,-0.75,1.48,1.48,4.44,4.44
938,多头进场,l,2024-12-29 09:00,37.18,2.689,-0.78,-0.78,3.19,-0.75,1.48,1.48,4.44,4.44
937,多头出场,s,2024-12-28 22:00,37.14,2.688,-0.13,-0.13,3.97,-0.13,0.11,0.11,2.45,2.45
937,多头进场,l,2024-12-28 03:00,37.19,2.688,-0.13,-0.13,3.97,-0.13,0.11,0.11,2.45,2.45
936,多头出场,s,2024-12-28 01:00,37.34,2.673,-0.16,-0.16,4.11,-0.15,0.08,0.08,2.91,2.91
936,多头进场,l,2024-12-27 22:00,37.40,2.673,-0.16,-0.16,4.11,-0.15,0.08,0.08,2.91,2.91
935,多头出场,s,2024-12-27 16:00,37.61,2.443,-8.09,-8.09,4.27,-7.20,0.66,0.66,9.97,9.97
935,多头进场,l,2024-12-25 18:00,40.92,2.443,-8.09,-8.09,4.27,-7.20,0.66,0.66,9.97,9.97
934,多头出场,s,2024-12-25 18:00,41.48,2.446,1.47,1.47,12.35,1.32,1.47,1.47,0.34,0.34
934,多头进场,l,2024-12-25 15:00,40.88,2.446,1.47,1.47,12.35,1.32,1.47,1.47,0.34,0.34
933,多头出场,s,2024-12-24 00:00,36.27,2.712,-1.63,-1.63,10.89,-1.45,1.06,1.06,3.17,3.17
933,多头进场,l,2024-12-23 19:00,36.87,2.712,-1.63,-1.63,10.89,-1.45,1.06,1.06,3.17,3.17
932,多头出场,s,2024-12-23 17:00,37.42,2.71,1.44,1.44,12.51,1.29,1.44,1.44,2.82,2.82
932,多头进场,l,2024-12-23 13:00,36.89,2.71,1.44,1.44,12.51,1.29,1.44,1.44,2.82,2.82
931,多头出场,s,2024-12-23 11:00,37.21,2.724,1.39,1.39,11.08,1.27,2.56,2.56,3.21,3.22
931,多头进场,l,2024-12-22 22:00,36.70,2.724,1.39,1.39,11.08,1.27,2.56,2.56,3.21,3.22
930,多头出场,s,2024-12-22 17:00,38.54,2.558,-1.41,-1.41,9.69,-1.27,0.84,0.84,7.47,7.47
930,多头进场,l,2024-12-21 20:00,39.09,2.558,-1.41,-1.41,9.69,-1.27,0.84,0.84,7.47,7.47
929,多头出场,s,2024-12-21 09:00,40.12,1.998,-19.84,-19.84,11.10,-15.15,0.04,0.04,32.87,32.87
929,多头进场,l,2024-12-17 22:00,50.05,1.998,-19.84,-19.84,11.10,-15.15,0.04,0.04,32.87,32.87
928,多头出场,s,2024-12-17 18:00,50.51,1.995,0.80,0.80,30.94,0.61,1.50,1.50,3.57,3.57
928,多头进场,l,2024-12-16 10:00,50.11,1.995,0.80,0.80,30.94,0.61,1.50,1.50,3.57,3.57
927,多头出场,s,2024-12-16 07:00,51.34,1.935,-0.64,-0.64,30.14,-0.49,0.48,0.48,6.91,6.91
927,多头进场,l,2024-12-14 20:00,51.67,1.935,-0.64,-0.64,30.14,-0.49,0.48,0.48,6.91,6.91
926,多头出场,s,2024-12-14 17:00,53.24,1.92,2.25,2.25,30.78,1.75,2.32,2.32,0.12,0.12
926,多头进场,l,2024-12-14 13:00,52.07,1.92,2.25,2.25,30.78,1.75,2.32,2.32,0.12,0.12
925,多头出场,s,2024-12-14 08:00,53.62,1.939,4.01,4.02,28.53,3.22,4.01,4.02,1.61,1.61
925,多头进场,l,2024-12-13 14:00,51.55,1.939,4.01,4.02,28.53,3.22,4.01,4.02,1.61,1.61
924,多头出场,s,2024-12-11 16:00,45.15,1.933,-12.70,-12.70,24.52,-9.26,1.47,1.47,21.88,21.89
924,多头进场,l,2024-12-09 11:00,51.72,1.933,-12.70,-12.70,24.52,-9.26,1.47,1.47,21.88,21.89
923,多头出场,s,2024-12-08 23:00,52.09,1.915,-0.23,-0.23,37.22,-0.17,0.80,0.80,3.56,3.56
923,多头进场,l,2024-12-08 03:00,52.21,1.915,-0.23,-0.23,37.22,-0.17,0.80,0.80,3.56,3.56
922,多头出场,s,2024-12-08 03:00,52.86,1.926,1.85,1.85,37.45,1.36,2.21,2.22,0.06,0.06
922,多头进场,l,2024-12-08 01:00,51.90,1.926,1.85,1.85,37.45,1.36,2.21,2.22,0.06,0.06
921,多头出场,s,2024-12-07 19:00,52.37,1.942,1.71,1.71,35.60,1.28,1.71,1.71,0.45,0.45
921,多头进场,l,2024-12-07 15:00,51.49,1.942,1.71,1.71,35.60,1.28,1.71,1.71,0.45,0.45
920,多头出场,s,2024-12-07 14:00,52.18,1.954,1.99,1.99,33.89,1.51,3.60,3.60,3.01,3.01
920,多头进场,l,2024-12-06 18:00,51.16,1.954,1.99,1.99,33.89,1.51,3.60,3.60,3.01,3.01
919,多头出场,s,2024-12-06 13:00,52.42,1.85,-2.98,-2.98,31.89,-2.21,0.37,0.37,9.75,9.75
919,多头进场,l,2024-12-05 04:00,54.03,1.85,-2.98,-2.98,31.89,-2.21,0.37,0.37,9.75,9.75
918,多头出场,s,2024-12-04 08:00,52.15,2.02,5.35,5.35,34.87,4.13,5.35,5.35,3.43,3.43
918,多头进场,l,2024-12-03 21:00,49.50,2.02,5.35,5.35,34.87,4.13,5.35,5.35,3.43,3.43
917,多头出场,s,2024-12-02 07:00,45.27,2.234,1.14,1.14,29.52,0.89,1.14,1.14,0.40,0.40
917,多头进场,l,2024-12-02 05:00,44.76,2.234,1.14,1.14,29.52,0.89,1.14,1.14,0.40,0.40
916,多头出场,s,2024-12-01 23:00,45.48,2.22,0.98,0.98,28.38,0.77,1.42,1.42,3.09,3.09
916,多头进场,l,2024-12-01 06:00,45.04,2.22,0.98,0.98,28.38,0.77,1.42,1.42,3.09,3.09
915,多头出场,s,2024-11-29 17:00,43.28,2.345,1.50,1.50,27.40,1.19,1.69,1.69,0,0.00
915,多头进场,l,2024-11-29 15:00,42.64,2.345,1.50,1.50,27.40,1.19,1.69,1.69,0,0.00
914,多头出场,s,2024-11-29 08:00,43.27,2.341,1.31,1.31,25.90,1.05,3.61,3.61,2.81,2.81
914,多头进场,l,2024-11-27 20:00,42.71,2.341,1.31,1.31,25.90,1.05,3.61,3.61,2.81,2.81
913,多头出场,s,2024-11-27 04:00,41.63,2.437,1.49,1.49,24.59,1.21,3.95,3.95,0.83,0.83
913,多头进场,l,2024-11-26 23:00,41.02,2.437,1.49,1.49,24.59,1.21,3.95,3.95,0.83,0.83
912,多头出场,s,2024-11-26 21:00,42.14,2.385,0.52,0.52,23.11,0.43,3.27,3.27,8.16,8.16
912,多头进场,l,2024-11-26 01:00,41.92,2.385,0.52,0.52,23.11,0.43,3.27,3.27,8.16,8.16
911,多头出场,s,2024-11-25 12:00,41.99,2.372,-0.38,-0.38,22.58,-0.31,2.35,2.35,9.11,9.11
911,多头进场,l,2024-11-24 00:00,42.15,2.372,-0.38,-0.38,22.58,-0.31,2.35,2.35,9.11,9.11
910,多头出场,s,2024-11-22 17:00,36.57,2.797,2.32,2.32,22.96,1.92,2.32,2.32,0,0.00
910,多头进场,l,2024-11-22 15:00,35.74,2.797,2.32,2.32,22.96,1.92,2.32,2.32,0,0.00
909,多头出场,s,2024-11-21 21:00,35.29,2.902,2.44,2.44,20.64,2.06,3.25,3.25,6.21,6.21
909,多头进场,l,2024-11-20 20:00,34.45,2.902,2.44,2.44,20.64,2.06,3.25,3.25,6.21,6.21
908,多头出场,s,2024-11-20 16:00,34.90,2.843,-0.77,-0.77,18.20,-0.65,1.31,1.31,6.08,6.08
908,多头进场,l,2024-11-19 08:00,35.17,2.843,-0.77,-0.77,18.20,-0.65,1.31,1.31,6.08,6.08
907,多头出场,s,2024-11-19 07:00,35.48,2.87,1.84,1.84,18.97,1.57,2.44,2.44,0.46,0.46
907,多头进场,l,2024-11-19 03:00,34.84,2.87,1.84,1.84,18.97,1.57,2.44,2.44,0.46,0.46
906,多头出场,s,2024-11-19 03:00,35.47,2.814,-0.17,-0.17,17.13,-0.14,1.63,1.63,1.04,1.04
906,多头进场,l,2024-11-18 23:00,35.53,2.814,-0.17,-0.17,17.13,-0.14,1.63,1.63,1.04,1.04
905,多头出场,s,2024-11-18 23:00,35.59,2.852,1.51,1.51,17.30,1.31,3.14,3.14,2.85,2.85
905,多头进场,l,2024-11-18 02:00,35.06,2.852,1.51,1.51,17.30,1.31,3.14,3.14,2.85,2.85
904,多头出场,s,2024-11-17 12:00,35.47,2.915,3.41,3.41,15.79,3.03,3.41,3.41,3.56,3.56
904,多头进场,l,2024-11-17 09:00,34.30,2.915,3.41,3.41,15.79,3.03,3.41,3.41,3.56,3.56
903,多头出场,s,2024-11-16 01:00,32.49,3.125,1.53,1.53,12.38,1.38,1.53,1.53,2.66,2.66
903,多头进场,l,2024-11-15 22:00,32.00,3.125,1.53,1.53,12.38,1.38,1.53,1.53,2.66,2.66
902,多头出场,s,2024-11-15 21:00,32.69,3.106,1.55,1.55,10.85,1.42,1.55,1.55,0.28,0.28
902,多头进场,l,2024-11-15 18:00,32.19,3.106,1.55,1.55,10.85,1.42,1.55,1.55,0.28,0.28
901,多头出场,s,2024-11-15 16:00,31.96,3.058,-2.26,-2.26,9.29,-2.03,0.52,0.52,6.45,6.45
901,多头进场,l,2024-11-14 18:00,32.70,3.058,-2.26,-2.26,9.29,-2.03,0.52,0.52,6.45,6.45
