交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
252,多头出场,s,2024-12-30 22:00,692.39,0.139,-3.11,-3.14,71.89,-1.78,0.37,0.37,3.76,3.78
252,多头进场,l,2024-12-29 09:00,714.80,0.139,-3.11,-3.14,71.89,-1.78,0.37,0.37,3.76,3.78
251,多头出场,s,2024-12-27 14:00,700.44,0.144,0.98,0.98,75.00,0.56,0.98,0.98,1.20,1.20
251,多头进场,l,2024-12-27 00:00,693.65,0.144,0.98,0.98,75.00,0.56,0.98,0.98,1.20,1.20
250,多头出场,s,2024-12-26 23:00,694.83,0.146,1.55,1.55,74.02,0.90,1.59,1.59,0.18,0.18
250,多头进场,l,2024-12-26 20:00,684.21,0.146,1.55,1.55,74.02,0.90,1.59,1.59,0.18,0.18
249,多头出场,s,2024-12-26 13:00,709.10,0.142,0.78,0.78,72.47,0.45,1.37,1.37,1.08,1.08
249,多头进场,l,2024-12-25 23:00,703.60,0.142,0.78,0.78,72.47,0.45,1.37,1.37,1.08,1.08
248,多头出场,s,2024-12-25 17:00,707.65,0.144,2.51,2.52,71.69,1.48,2.51,2.52,1.09,1.10
248,多头进场,l,2024-12-24 16:00,690.24,0.144,2.51,2.52,71.69,1.48,2.51,2.52,1.09,1.10
247,多头出场,s,2024-12-23 10:00,653.14,0.152,-0.51,-0.51,69.19,-0.30,0.14,0.14,2.79,2.80
247,多头进场,l,2024-12-23 02:00,656.48,0.152,-0.51,-0.51,69.19,-0.30,0.14,0.14,2.79,2.80
246,多头出场,s,2024-12-22 16:00,663.63,0.146,-2.80,-2.81,69.69,-1.62,0.13,0.13,4.79,4.81
246,多头进场,l,2024-12-21 16:00,682.82,0.146,-2.80,-2.81,69.69,-1.62,0.13,0.13,4.79,4.81
245,多头出场,s,2024-12-20 23:00,667.52,0.153,2.52,2.53,72.49,1.49,2.52,2.53,0.43,0.44
245,多头进场,l,2024-12-20 21:00,651.02,0.153,2.52,2.53,72.49,1.49,2.52,2.53,0.43,0.44
244,多头出场,s,2024-12-20 20:00,648.63,0.15,-2.69,-2.69,69.97,-1.56,2.02,2.02,7.18,7.18
