交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
321,多头出场,开盘价,,,,,,,,,,,
321,多头进场,l,2024-12-31 01:00,0.31761,,,,,,,,,
320,多头出场,s,2024-12-31 01:00,0.31680,319.682,1.28,1.28,74.43,0.74,1.28,1.28,1.97,1.97
320,多头进场,l,2024-12-30 21:00,0.31281,319.682,1.28,1.28,74.43,0.74,1.28,1.28,1.97,1.97
319,多头出场,s,2024-12-30 09:00,0.32244,311.003,0.28,0.28,73.16,0.16,0.28,0.28,2.99,2.99
319,多头进场,l,2024-12-29 22:00,0.32154,311.003,0.28,0.28,73.16,0.16,0.28,0.28,2.99,2.99
318,多头出场,s,2024-12-28 15:00,0.31646,321.151,1.63,1.63,72.88,0.95,1.63,1.63,0.48,0.48
318,多头进场,l,2024-12-28 05:00,0.31138,321.151,1.63,1.63,72.88,0.95,1.63,1.63,0.48,0.48
317,多头出场,s,2024-12-27 16:00,0.31472,298.792,-5.96,-5.96,71.25,-3.37,0.99,0.99,7.86,7.86
317,多头进场,l,2024-12-25 18:00,0.33468,298.792,-5.96,-5.96,71.25,-3.37,0.99,0.99,7.86,7.86
316,多头出场,s,2024-12-25 18:00,0.33748,300.652,1.46,1.46,77.21,0.83,1.46,1.46,0.60,0.60
316,多头进场,l,2024-12-25 11:00,0.33261,300.652,1.46,1.46,77.21,0.83,1.46,1.46,0.60,0.60
315,多头出场,s,2024-12-25 08:00,0.34000,297.026,0.99,0.99,75.75,0.57,0.99,0.99,0.52,0.52
315,多头进场,l,2024-12-25 06:00,0.33667,297.026,0.99,0.99,75.75,0.57,0.99,0.99,0.52,0.52
314,多头出场,s,2024-12-25 05:00,0.33565,300.336,0.81,0.81,74.76,0.46,1.83,1.83,1.57,1.57
314,多头进场,l,2024-12-25 00:00,0.33296,300.336,0.81,0.81,74.76,0.46,1.83,1.83,1.57,1.57
