time,open,high,low,close,Plot,Plot,Volume
1716202800,3104.15,3110.39,3086.5,3093.8,3066.115349633167,3138.477647704981,13653.3288
1716206400,3093.79,3097.05,3077.51,3085.39,3064.3517742185786,3135.940796273332,9855.0868
1716210000,3085.39,3100,3077,3094.92,3072.4226661601283,3143.4741642174563,8402.0403
1716213600,3094.91,3095.74,3076.69,3090.76,3068.4431230587797,3138.6848753604395,8970.8246
1716217200,3090.77,3121,3086.6,3118.53,3087.2100244799317,3157.1666615859945,16455.9183
1716220800,3118.52,3148.87,3110.85,3135.4,3121.1544251205773,3191.1650569013045,30112.7658
1716224400,3135.4,3151.44,3126,3143.63,3126.9119688252135,3196.3425633169527,17520.3398
1716228000,3143.64,3154.52,3135.44,3148.78,3143.548373753607,3212.6426955426537,13524.7728
1716231600,3148.79,3457.12,3141.49,3438.87,3066.981408040004,3426.3103668370145,217850.5317
1716235200,3438.86,3580,3420.37,3500.07,2996.939761445183,3477.9336315709133,131745.8895
1716238800,3500.07,3648.91,3485.02,3646.08,2933.451588740893,3603.5993373262454,104978.8229
1716242400,3646.09,3683.34,3606.78,3611.96,2948.705774864923,3614.841126432765,87434.1571
1716246000,3611.96,3694,3610.95,3661.78,3046.6670619347465,3727.2811874695008,49349.2904
1716249600,3661.79,3721,3661.78,3688.9,3061.0332957564065,3737.2632134904584,61078.2593
1716253200,3688.9,3693.7,3638.8,3686.99,3071.8991877419667,3743.0019613200784,51556.8902
1716256800,3687,3689.74,3655.4,3675.06,3100.5997331264753,3770.467132653341,36263.0777
1716260400,3675.06,3708.48,3674.1,3695.9,3121.9315295329698,3788.9422654902146,27539.6174
1716264000,3695.9,3699.6,3657.24,3658.55,3125.490407020748,3785.8783275694045,26759.7858
1716267600,3658.54,3659,3624.28,3646.27,3157.826400377138,3817.6773195749915,31825.3305
1716271200,3646.28,3687.44,3644.51,3669.74,3177.97464921114,3834.7089347555093,33646.1854
1716274800,3669.73,3674.27,3651.13,3660.49,3184.2141380293338,3834.9851733640658,25141.4639
1716278400,3660.5,3663,3649.36,3658.57,3206.862328792568,3855.045711687455,21186.6085
1716282000,3658.58,3685.3,3658.3,3681.86,3231.9781363286247,3878.052489046997,21844.7416
1716285600,3681.87,3731.35,3676.5,3717,3258.210250048236,3902.3713952493517,50339.454
1716289200,3717,3823.5,3711.21,3777.97,3287.0469269910177,3929.7752256563754,92407.1921
1716292800,3777.98,3811.3,3748.57,3794,3323.8390335602026,3966.633763334792,67595.7319
1716296400,3793.99,3836,3760.89,3768.75,3315.6643221671366,3949.852786221917,65504.4893
1716300000,3768.75,3831.39,3765.77,3776,3326.3865430987707,3955.661649109993,58789.089
1716303600,3775.99,3805.9,3766.76,3777.68,3327.0985388090794,3949.6254017407337,32543.682
1716307200,3777.69,3841.54,3766.75,3774.1,3334.78378367361,3951.9316027423383,60030.2608
1716310800,3774.11,3779.25,3723.25,3748.78,3351.2964972082395,3964.730562588697,56817.5276
1716314400,3748.78,3759.25,3721.87,3731.51,3357.9649372159593,3965.9166634256335,20098.4287
1716318000,3731.51,3739.25,3680.68,3712.27,3342.232087158604,3940.742589568563,32826.997
