time,open,high,low,close,Volume,Plot,Plot
1651132800,2900.27,2944.25,2899.73,2931.13,32635.7064,2883.715973490322,2941.9728618436616
1651136400,2931.14,2947.47,2930.46,2940.16,18556.6375,2894.066006890077,2952.53198682725
1651140000,2940.16,2942.19,2923.09,2930.35,12906.1782,2890.315687192571,2948.7059030954515
1651143600,2930.35,2937.56,2924.71,2928.26,9990.1749,2888.393548416699,2946.7449332331985
1651147200,2928.27,2936,2909.04,2914.99,22776.3773,2880.040280217882,2938.2229121414753
1651150800,2915,2917.01,2867.85,2870.11,44894.8808,2846.0439936630432,2903.539831918862
1651154400,2870.12,2888.64,2853.83,2879.59,33523.8573,2859.7860523123004,2917.559507914569
1651158000,2879.59,2946.5,2866.18,2889.53,75397.6507,2870.4891337999693,2928.478813270676
1651161600,2889.53,2939.43,2875.63,2934.71,39881.7181,2904.6282742183034,2963.307633293421
1651165200,2934.71,2971.97,2927.7,2971.19,34497.2622,2932.8747988190225,2992.124794754761
1651168800,2971.19,2980,2959.24,2963.64,23247.9594,2918.993400123186,2977.9629637620383
1651172400,2963.63,2978,2943.01,2947.83,21214.8729,2911.931482457308,2970.7583810928095
1651176000,2947.84,2969.69,2929.79,2947.52,30291.8267,2904.49565411424,2963.172333995336
1651179600,2947.51,2956.24,2921.63,2936.22,12793.2133,2903.930446435135,2962.5957079792793
1651183200,2936.22,2938,2911.71,2928.66,12801.5245,2899.9630313311955,2958.5481430752598
1651186800,2928.66,2941,2922.22,2936.93,11899.4658,2897.2899743433363,2955.8210849361312
1651190400,2936.92,2946.46,2925.7,2943.74,11812.7215,2905.7093536410953,2964.4105527045517
1651194000,2943.74,2944.83,2927.45,2931.65,14020.1453,2904.5397964331128,2963.2173680782266
1651197600,2931.66,2936.35,2905.65,2911.17,22438.747,2883.6369609521535,2941.892253092601
1651201200,2911.17,2928.21,2904.14,2926.21,17850.9927,2885.176074954383,2943.462460306997
1651204800,2926.21,2927.14,2909.61,2920.01,13914.1666,2885.6846764661577,2943.9813365967875
1651208400,2920,2935.9,2919.73,2921.86,15482.8937,2882.7351040128847,2940.972176821226
1651212000,2921.86,2928.5,2908.74,2920.77,12053.5642,2880.1116097365684,2938.2956826605396
1651215600,2920.78,2929.72,2915,2925.85,14114.4525,2891.276698892438,2949.686329173094
1651219200,2925.84,2927.79,2905,2906.29,12537.125,2876.799965798187,2934.917136824413
1651222800,2906.3,2906.3,2875.46,2880.21,22890.0979,2857.9538575393317,2915.690299105783
1651226400,2880.22,2889.39,2852.48,2862.63,21654.836,2833.862421249255,2891.1121671330784
1651230000,2862.64,2868.92,2834.28,2843.11,26459.0554,2829.98149172066,2887.152834987744
1651233600,2843.11,2874.97,2832.07,2859.46,26375.3836,2842.0434635294296,2899.4584829946707
1651237200,2859.46,2886.23,2835.3,2879.25,36749.4679,2867.4829608188115,2925.411909522222
1651240800,2879.25,2883.43,2843.11,2859.1,29662.8958,2843.164532340379,2900.6021996603868
1651244400,2859.09,2867.82,2846.11,2856.51,24243.6807,2845.6043513292816,2903.0913079217926
1651248000,2856.51,2857.53,2808.32,2815.93,34068.5163,2808.819340838471,2865.563165905915
1651251600,2815.94,2836.03,2805.26,2822.72,25530.5807,2816.359897369393,2873.2560569122093
1651255200,2822.71,2829,2800.26,2816.19,33296.8176,2808.1278520651736,2864.85770766245
1651258800,2816.2,2820.46,2776.63,2792.96,56307.9832,2790.746796318693,2847.125519476647
1651262400,2792.95,2815.09,2789.07,2807.18,24464.9727,2805.6265474954444,2862.305871687272
1651266000,2807.17,2818.15,2801.36,2807.8,11400.3942,2803.7768537227,2860.418810363563
1651269600,2807.81,2823,2795.45,2819.26,10493.4218,2806.083081695761,2862.7716288007255
1651273200,2819.26,2823.17,2809.08,2817.13,8155.2347,2803.2064303290986,2859.8368632650404
1651276800,2817.13,2829.65,2812.19,2826.25,12361.709,2805.0500573130253,2861.717735238541
1651280400,2826.25,2834.05,2821,2825.63,11626.525,2807.714861459008,2864.4363738117154
1651284000,2825.63,2837.82,2822.51,2825.04,13250.9551,2805.132146216325,2861.8014825035234
1651287600,2825.05,2825.77,2810.45,2818.26,10831.8427,2800.638936943936,2857.217501326642
1651291200,2818.26,2824,2809.16,2820.99,9613.6232,2792.0813971203593,2848.4870819106695
1651294800,2821,2841.63,2818,2836.3,9848.9019,2802.365726065717,2858.979175077146
1651298400,2836.31,2839.39,2825.18,2831.58,7775.4544,2801.072035363595,2857.6593492093243
1651302000,2831.57,2833,2822.54,2829.79,8555.4112,2797.0983958924526,2853.6054341933104
1651305600,2829.79,2832.58,2820.46,2822.3,12603.0336,2791.1910878748117,2847.5787866197575
1651309200,2822.29,2834.95,2817.69,2833.45,9940.8528,2794.5868740355145,2851.043174521081
1651312800,2833.46,2840,2829.01,2830.08,10621.3249,2790.5215475227983,2846.895720200027
1651316400,2830.07,2836.28,2829.19,2830.76,7312.0944,2791.765308908173,2848.1646080780356
1651320000,2830.76,2836.66,2821.46,2825.02,7886.4073,2788.9969161963368,2845.3402882407077
1651323600,2825.02,2830.49,2813.9,2821.05,10874.6488,2787.2417178810497,2843.549631373596
1651327200,2821.06,2824.8,2779,2784,31137.7194,2768.7229404792033,2824.6567372565614
1651330800,2784,2823.38,2771.01,2816.08,25535.2868,2784.45419431365,2840.705794198774
1651334400,2816.07,2822.16,2798.75,2801.57,12911.3386,2781.7606584794003,2837.9578434991863
1651338000,2801.58,2804.67,2780.58,2786.01,18160.0382,2771.5376292668616,2827.5282884439703
1651341600,2786,2795,2775.03,2794,13324.0472,2775.541493680378,2831.613039007255
1651345200,2794,2811,2788.36,2806.73,10467.8514,2784.25271094673,2840.500240460806
1651348800,2806.74,2807.86,2786.01,2790.03,9233.4066,2773.4340852113614,2829.4630566297724
1651352400,2790.04,2799.81,2785.35,2795.14,9959.1123,2771.5418727583324,2827.532617662541
1651356000,2795.14,2797,2780,2781.21,14984.5502,2767.302951442192,2823.2080615723376
1651359600,2781.22,2785.82,2709.26,2726.66,78941.1119,2721.6407800182133,2776.6234220387832
1651363200,2726.67,2746.82,2716.13,2736.52,34271.2824,2724.2272082642166,2779.262101360464
1651366800,2736.52,2777.36,2725.4,2770.25,28650.6369,2742.2733539155774,2797.6728156108416
1651370400,2770.26,2780.62,2754.76,2758.16,16032.0927,2733.216039833548,2788.432525486751
1651374000,2758.16,2777.77,2758.16,2777.15,11460.1022,2748.9810253092874,2804.515995517556
1651377600,2777.15,2780.63,2764.18,2772.53,22573.0431,2742.0700365940656,2797.4653908686932
1651381200,2772.54,2795.15,2769.23,2782,18816.3113,2749.6340864327894,2805.182249795068
1651384800,2782.01,2791.79,2772,2776.05,13166.7918,2741.4309277783514,2796.8133707637726
1651388400,2776.04,2779.35,2764.67,2766.39,14489.5712,2741.7312103098375,2797.119719609026
1651392000,2766.4,2782,2765.18,2778.31,12854.7075,2745.6725458262104,2801.1406780651237
1651395600,2778.31,2780.64,2756.8,2768.31,8475.5507,2740.8775045669686,2796.2487672854936
1651399200,2768.32,2775.87,2761,2766.42,8231.258,2744.5752988558847,2800.0212644893368
1651402800,2766.42,2769.3,2751.74,2756.8,11207.4185,2737.5145096063734,2792.8178330327646
1651406400,2756.79,2779.42,2753.5,2763.88,14552.6795,2739.2588403621767,2794.5974027937355
1651410000,2763.88,2771.27,2757.17,2757.99,9218.5265,2735.7804052107617,2791.0486962251202
1651413600,2758,2767.4,2754.28,2760.19,12476.3829,2740.314588477677,2795.674479153993
1651417200,2760.18,2819.31,2760.18,2805.75,33194.066,2776.163152741051,2832.2472568368294
1651420800,2805.76,2828.93,2801.53,2812.2,26489.8879,2777.664132287019,2833.778559201908
1651424400,2812.21,2819.96,2804.01,2807.06,13988.7787,2769.1580099031153,2825.100595961764
1651428000,2807.05,2808.62,2771.33,2773.22,16274.3572,2737.6082973306775,2792.91351545857
1651431600,2773.23,2777.62,2755.1,2765.39,20779.7464,2729.7223782080177,2784.868284838483
1651435200,2765.4,2817.82,2757.81,2813.19,19345.2218,2767.7304756632147,2823.6442226463105
1651438800,2813.18,2821.7,2793.24,2808.61,16150.0107,2770.2872007963333,2826.252598792219
1651442400,2808.61,2823.9,2793.25,2806.98,23198.1539,2768.3379615984245,2824.263981024655
1651446000,2806.98,2849.9,2802.34,2824.81,36648.3014,2780.841580365374,2837.020198150533
1651449600,2824.81,2849.68,2822.59,2841.41,27726.5767,2796.4163097875935,2852.909568571181
1651453200,2841.66,2848.22,2833.04,2834.21,11138.9394,2784.46701316532,2840.7188720171453
1651456800,2834.21,2841,2829.01,2839.15,10269.1645,2794.4302585762557,2850.8833951131496
1651460400,2839.15,2846.21,2835,2840.72,12265.747,2799.3684351186653,2855.92133279783
1651464000,2840.72,2865.83,2832.1,2856.81,17391.7924,2821.630188934971,2878.6328190144654
1651467600,2856.82,2867.21,2849.41,2861.27,14346.4794,2824.932395932211,2882.001737264175
1651471200,2861.27,2874.59,2856.35,2857.66,13353.6404,2820.2265294824433,2877.200802805321
1651474800,2857.66,2865.72,2841.1,2845.26,13159.1003,2817.9950889631186,2874.9242826795457
1651478400,2845.26,2855.86,2832.18,2838.83,13337.2182,2821.2233614437705,2878.2177727860685
1651482000,2838.83,2848.69,2807.64,2810.42,19093.726,2810.429347800807,2867.20569826143
1651485600,2810.43,2819.76,2802.44,2806.14,15402.1403,2805.174495105986,2861.8446869263094
1651489200,2806.13,2809.67,2789.63,2795.05,17868.4154,2791.236271339916,2847.6248828821363
1651492800,2795.05,2811.47,2789.28,2795.57,17163.7751,2788.3732820428554,2844.7040554174587
1651496400,2795.54,2845.1,2778.78,2829.25,64991.9371,2817.2263152548257,2874.139978189267
1651500000,2829.25,2852.53,2805.23,2828,46120.4364,2811.5944360006765,2868.3943235966494
1651503600,2827.99,2835.49,2814.1,2827.68,24617.0023,2801.0416375774985,2857.6283373265387
1651507200,2827.68,2836.49,2806.24,2809,24729.2666,2789.470486549258,2845.8234256714654
1651510800,2809,2811.66,2784.24,2797.27,25050.3917,2775.7516208670313,2831.827411187577
1651514400,2797.26,2810.06,2780,2801,28149.9534,2764.156046271494,2819.997582559807
1651518000,2800.99,2850,2795.55,2841.71,39989.7752,2790.248330792395,2846.616983939716
1651521600,2841.72,2847.64,2825.99,2826.99,15735.8704,2772.95807216124,2828.9774271543965
1651525200,2827,2869.39,2824.08,2866.14,18958.5606,2787.748570940822,2863.572923119493
1651528800,2866.14,2894.22,2860.94,2861.91,18304.892,2787.2210074612867,2859.4888090923296
1651532400,2861.91,2874.48,2851.2,2856.54,12542.0559,2785.4866180009235,2854.2595250714053
1651536000,2856.54,2861.47,2836.12,2836.91,18085.4554,2779.9386837664283,2845.1025953639078
1651539600,2836.91,2845.47,2830.27,2844.99,13470.7825,2790.3650611079215,2852.4665666702786
1651543200,2844.99,2853.13,2828.65,2839.99,12004.087,2784.742647986764,2843.5874633084027
1651546800,2840,2856.33,2839.01,2851,10873.2942,2796.073119474753,2852.559445120708
1651550400,2851,2855.07,2843.93,2849.13,8735.8184,2796.609493516694,2853.1066550018795
1651554000,2849.12,2849.36,2829.9,2844.09,23087.0998,2801.034848203161,2857.621410793124
1651557600,2844.09,2848.73,2836.93,2840.3,8312.9743,2799.5390367692494,2856.095380946406
1651561200,2840.29,2847.84,2835.1,2844.98,10649.4485,2808.389591796415,2865.1247350650297
1651564800,2844.98,2854.12,2843.72,2844.77,9524.0731,2808.5351071813366,2865.2731901546967
1651568400,2844.77,2846.74,2832.7,2833.71,7570.4734,2804.8940337202025,2861.5585596539436
1651572000,2833.71,2835.1,2824,2830.54,9085.2155,2804.1063674011,2860.7549808839503
1651575600,2830.54,2849.6,2825,2849.01,10955.9632,2816.4692322885194,2873.36760061758
1651579200,2849.01,2850.81,2835.76,2837.77,9968.1392,2809.2596079544583,2866.012327307074
1651582800,2837.77,2842.57,2815.31,2834.32,27538.1531,2805.1372447344197,2861.806684021984
1651586400,2834.33,2847.61,2817.3,2822.3,23036.8559,2799.643581189978,2856.2020373756336
1651590000,2822.29,2836,2815.66,2822.21,15659.411,2803.028667655335,2859.6555094261503
1651593600,2822.21,2827.51,2800.04,2806.46,24545.4104,2789.668269014558,2846.025203742125
1651597200,2806.45,2826.21,2802.69,2802.69,14506.88,2781.5759878327253,2837.7694421323768
1651600800,2802.69,2802.7,2770,2783.95,36330.994,2759.6843550022095,2815.435554093163
