交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
197,多头出场,开盘价,,,,,,,,,,,
197,多头进场,l,2024-12-17 07:00,3986.24,,,,,,,,,
196,多头出场,s,2024-12-17 02:00,4098.50,0.0253,3.94,3.95,51.50,2.67,3.94,3.95,1.48,1.49
196,多头进场,l,2024-12-16 11:00,3942.60,0.0253,3.94,3.95,51.50,2.67,3.94,3.95,1.48,1.49
195,多头出场,s,2024-12-16 07:00,3953.29,0.0257,1.71,1.71,47.56,1.17,2.10,2.10,1.59,1.59
195,多头进场,l,2024-12-13 04:00,3886.87,0.0257,1.71,1.71,47.56,1.17,2.10,2.10,1.59,1.59
194,多头出场,s,2024-12-12 10:00,3861.01,0.0262,1.50,1.50,45.85,1.04,1.50,1.50,0.19,0.19
194,多头进场,l,2024-12-12 03:00,3803.91,0.0262,1.50,1.50,45.85,1.04,1.50,1.50,0.19,0.19
193,多头出场,s,2024-12-11 23:00,3819.20,0.026,-0.46,-0.46,44.35,-0.32,6.52,6.53,8.53,8.55
193,多头进场,l,2024-12-06 20:00,3837.00,0.026,-0.46,-0.46,44.35,-0.32,6.52,6.53,8.53,8.55
192,多头出场,s,2024-12-06 08:00,3854.36,0.026,0.43,0.43,44.82,0.30,3.07,3.08,4.18,4.19
192,多头进场,l,2024-12-05 07:00,3837.80,0.026,0.43,0.43,44.82,0.30,3.07,3.08,4.18,4.19
191,多头出场,s,2024-12-04 08:00,3666.80,0.0269,-1.10,-1.10,44.39,-0.75,1.41,1.41,5.58,5.60
191,多头进场,l,2024-12-01 16:00,3707.62,0.0269,-1.10,-1.10,44.39,-0.75,1.41,1.41,5.58,5.60
190,多头出场,s,2024-11-30 10:00,3628.13,0.0278,1.11,1.12,45.48,0.77,1.66,1.67,1.62,1.63
190,多头进场,l,2024-11-28 21:00,3588.12,0.0278,1.11,1.12,45.48,0.77,1.66,1.67,1.62,1.63
189,多头出场,s,2024-11-27 23:00,3570.04,0.0292,4.27,4.27,44.37,3.05,4.27,4.27,5.02,5.02
189,多头进场,l,2024-11-26 14:00,3423.77,0.0292,4.27,4.27,44.37,3.05,4.27,4.27,5.02,5.02
188,多头出场,s,2024-11-25 17:00,3455.68,0.0292,1.23,1.24,40.10,0.89,1.23,1.24,3.86,3.87
188,多头进场,l,2024-11-24 12:00,3413.45,0.0292,1.23,1.24,40.10,0.89,1.23,1.24,3.86,3.87
