time,open,high,low,close,Volume,Plot,Plot
1657184400,5.63,5.69,5.63,5.66,247197.1,5.558918872952084,5.6712202643248535
1657188000,5.67,5.67,5.62,5.64,65423.41,5.546326859064411,5.658373866318238
1657191600,5.65,5.68,5.62,5.67,68783.77,5.549804114681812,5.66625814670669
1657195200,5.67,5.69,5.62,5.66,92177.94,5.525541841354053,5.655724013652656
1657198800,5.65,5.72,5.62,5.71,143873.06,5.549997461571248,5.704732137063547
1657202400,5.71,5.8,5.67,5.77,390503.26,5.660032093884004,5.80984001030749
1657206000,5.77,5.8,5.73,5.74,154307,5.657852777626866,5.800021428998685
1657209600,5.75,5.87,5.74,5.85,208213.08,5.72185227774755,5.858354497323614
1657213200,5.85,5.85,5.76,5.77,107694.38,5.678128299102366,5.806737766353085
1657216800,5.78,5.82,5.77,5.79,98758.1,5.792780430887606,5.933587965289185
1657220400,5.8,5.85,5.79,5.83,121656.88,5.8338352778637566,6.135476411089354
1657224000,5.82,5.85,5.78,5.8,65128.75,5.786671778395378,6.070547227309591
1657227600,5.8,5.81,5.78,5.81,72340.84,5.798890067263447,6.06881012888869
1657231200,5.81,5.85,5.78,5.81,87139.52,5.790069442401179,6.0458058641478125
1657234800,5.8,5.83,5.79,5.8,60190.94,5.790078575436912,6.032760589171152
1657238400,5.8,5.82,5.76,5.81,128307.85,5.813658573732313,6.048830541872839
1657242000,5.82,5.93,5.8,5.89,209668.01,5.893859610029333,6.176603981075084
1657245600,5.89,5.89,5.83,5.85,102064.53,5.853805429070048,6.121448192479263
1657249200,5.86,5.87,5.83,5.85,91052.33,5.853828170337849,6.176545202458481
1657252800,5.85,5.86,5.79,5.8,116688.41,5.803798612968279,6.121945471236286
1657256400,5.8,5.86,5.71,5.76,269546.22,5.762621123173762,6.062305578085552
1657260000,5.76,5.79,5.73,5.77,145407.6,5.754139765092648,6.038051858399666
1657263600,5.76,5.79,5.72,5.75,110685.16,5.740203346222496,6.008935102639923
1657267200,5.74,5.77,5.63,5.64,146699.25,5.637142450210501,5.887560904184062
1657270800,5.64,5.68,5.61,5.65,202863.81,5.653661797766985,5.907433544773697
1657274400,5.65,5.71,5.63,5.64,112064.3,5.636823490136971,5.876919206550104
1657278000,5.64,5.69,5.63,5.67,72983.5,5.642457891102194,5.87053394694451
1657281600,5.66,5.71,5.57,5.62,254144.21,5.579593707178156,5.793635657840512
1657285200,5.63,5.67,5.6,5.61,138846.78,5.544127982797129,5.745981755576475
1657288800,5.61,5.72,5.6,5.7,154193.12,5.668783758538296,5.864678148444679
1657292400,5.71,5.73,5.67,5.69,172054.83,5.693585338155618,5.924347031425158
1657296000,5.7,5.7,5.62,5.64,67387.37,5.619759706575741,5.835921734785879
1657299600,5.65,5.67,5.62,5.65,53142.17,5.636255287399756,5.8420141249473
1657303200,5.65,5.7,5.64,5.67,87345.05,5.62500278599184,5.819905554325393
