time,open,high,low,close,Volume,Plot,Plot
1725318000,3.491,3.497,3.483,3.491,66447.18,3.440150501476611,3.520739259189583
1725321600,3.49,3.506,3.477,3.506,74039.5,3.4523778264619644,3.5291642911595114
1725325200,3.506,3.519,3.492,3.519,158395.56,3.4639114600214285,3.5370616273594586
1725328800,3.518,3.557,3.509,3.511,125876.16,3.4635292245400024,3.533499511904447
1725332400,3.511,3.521,3.488,3.494,111215.87,3.455337402780124,3.5251421987958844
1725336000,3.494,3.502,3.477,3.49,114102.3,3.4570763182897633,3.5269162439117787
1725339600,3.49,3.503,3.481,3.503,77618.55,3.4645536675768174,3.5345446507601874
1725343200,3.503,3.503,3.471,3.473,72848.93,3.447577033002542,3.5172250538712806
1725346800,3.474,3.504,3.473,3.502,91179.78,3.462123588391642,3.5320654790662207
1725350400,3.502,3.503,3.45,3.458,168711.33,3.4429957712765775,3.5125512414033775
1725354000,3.457,3.47,3.454,3.455,70723.69,3.4484907966411362,3.5181572773813614
1725357600,3.456,3.482,3.453,3.476,101866.48,3.45773232750869,3.527585505842199
1725361200,3.476,3.489,3.466,3.484,151564.04,3.4555031502503186,3.52531129469982
1725364800,3.484,3.504,3.483,3.487,93111.54,3.458156291538569,3.528018034801975
1725368400,3.489,3.505,3.413,3.429,318798.78,3.4123852563225183,3.4813223322078217
1725372000,3.429,3.429,3.384,3.407,236528.91,3.3706886835269887,3.438783404406322
1725375600,3.408,3.422,3.376,3.383,181651.08,3.3725589328093633,3.440691436502482
1725379200,3.383,3.412,3.378,3.393,264698.08,3.369749580475048,3.4378253295755545
1725382800,3.392,3.429,3.392,3.41,135492.83,3.369104076799247,3.4371667854214545
1725386400,3.41,3.418,3.391,3.403,126389.62,3.382159265117015,3.4504857149173587
1725390000,3.403,3.422,3.387,3.397,146316.14,3.3876868222115686,3.456124939832004
1725393600,3.4,3.419,3.398,3.411,61226.99,3.396622724675257,3.465241365577788
1725397200,3.41,3.41,3.375,3.391,223308.72,3.388515329265687,3.4569701844023677
1725400800,3.391,3.398,3.378,3.378,76886.7,3.370454095172477,3.4385440768931335
1725404400,3.378,3.382,3.343,3.354,142830,3.3462988059639898,3.41390080204407
1725408000,3.355,3.38,3.308,3.313,297685.76,3.3146346461183174,3.3985449382066304
1725411600,3.314,3.314,3.166,3.275,1750724.37,3.276897017038866,3.3858726956364857
1725415200,3.275,3.304,3.268,3.29,263636.6,3.2692698229480643,3.3724699519847783
1725418800,3.29,3.334,3.289,3.33,124279.85,3.270895189241261,3.368906706380633
1725422400,3.33,3.376,3.326,3.37,411542.49,3.2773945520699463,3.370620670066177
1725426000,3.37,3.372,3.328,3.331,166724.84,3.2556298917660875,3.3435440405424637
1725429600,3.332,3.359,3.329,3.335,158524.53,3.2604527635738467,3.3440385004949498
1725433200,3.337,3.374,3.331,3.353,115892.35,3.290037234610842,3.370112876495188
1725436800,3.354,3.37,3.342,3.368,348073.71,3.2951594548785925,3.371303418686296
1725440400,3.368,3.385,3.355,3.357,183490.39,3.2879339804609997,3.3600704564143995
1725444000,3.358,3.366,3.325,3.326,137262.47,3.2811160118530265,3.3494660690633946
1725447600,3.326,3.348,3.326,3.33,87203.78,3.2896322694290827,3.356089486993307
1725451200,3.33,3.356,3.326,3.337,124347.69,3.2916544510287973,3.358152520746551
1725454800,3.337,3.345,3.31,3.34,251072.69,3.2853268167186256,3.351697055440214
1725458400,3.338,3.434,3.325,3.413,317874.86,3.3464131412439952,3.414017447127712
1725462000,3.416,3.434,3.391,3.429,323974.29,3.3839870592363974,3.452350434170466
1725465600,3.429,3.469,3.417,3.442,278176.84,3.400842434389884,3.469546321953316
1725469200,3.44,3.447,3.41,3.41,114637.5,3.3717756322256407,3.439892311664543
1725472800,3.41,3.416,3.375,3.38,236528.17,3.3610964360720486,3.4289973741745143
1725476400,3.381,3.4,3.377,3.396,60978.93,3.3833204850499548,3.451670393838843
1725480000,3.397,3.409,3.388,3.406,110389.15,3.384735279378664,3.453113769871162
1725483600,3.405,3.433,3.396,3.429,257800.95,3.3916327607983114,3.4601505943497926
1725487200,3.43,3.437,3.411,3.417,127141.33,3.3954649688734766,3.4640602207699103
1725490800,3.416,3.417,3.387,3.393,75048.43,3.3854009343320923,3.453792872399408
1725494400,3.393,3.412,3.382,3.382,143924.8,3.3834331496897145,3.4523785815680585
1725498000,3.382,3.414,3.38,3.405,85438.72,3.3836159046938756,3.4519717815563786
1725501600,3.404,3.41,3.383,3.384,105775.88,3.3627017556058987,3.430635124406018
1725505200,3.384,3.385,3.336,3.342,293030.35,3.3285196570873787,3.395762478442679
1725508800,3.341,3.362,3.327,3.351,126639.74,3.3305701348448746,3.397854379993256
1725512400,3.352,3.368,3.341,3.364,86314.06,3.3284965850241397,3.3957389402771527
1725516000,3.363,3.367,3.321,3.364,141486.12,3.3126914602558717,3.379614520059021
1725519600,3.363,3.392,3.357,3.385,91615.52,3.327750605692497,3.3949778906559818
1725523200,3.385,3.397,3.361,3.369,58132.5,3.3193580226013895,3.3864157604317207
1725526800,3.37,3.39,3.362,3.378,115266.97,3.3075930934392046,3.37581469840392
1725530400,3.378,3.384,3.367,3.375,59888.64,3.307065523824203,3.3738749283459035
1725534000,3.375,3.387,3.368,3.375,82915.65,3.3026768054950146,3.3727441204545228
1725537600,3.375,3.397,3.361,3.384,167701.83,3.294566382029763,3.381093048888852
1725541200,3.384,3.426,3.383,3.413,243025.25,3.314425049563328,3.409732179138098
1725544800,3.413,3.428,3.349,3.36,249223.23,3.291704807569783,3.3815613245116136
1725548400,3.36,3.373,3.325,3.349,257526.4,3.2637467231835813,3.3483276560632085
1725552000,3.348,3.354,3.313,3.331,164406.79,3.2880662297362457,3.36896443810616
1725555600,3.33,3.373,3.324,3.372,100438.22,3.3072893933129657,3.384544483219473
1725559200,3.372,3.379,3.361,3.366,56681.42,3.308140283404469,3.3815086556287652
1725562800,3.366,3.368,3.314,3.332,97989.4,3.283868763585892,3.3530189945008075
1725566400,3.33,3.36,3.327,3.342,75114.61,3.290766465829273,3.3572465964520863
1725570000,3.342,3.361,3.323,3.359,139510.83,3.297246099037427,3.3638571313412133
1725573600,3.358,3.365,3.337,3.364,60066.08,3.2981667024986026,3.3647963328521096
1725577200,3.364,3.367,3.354,3.359,27919.37,3.3062069772663065,3.3729990374131003
1725580800,3.358,3.366,3.339,3.355,61695.42,3.3094930069193738,3.3763514515036035
1725584400,3.355,3.387,3.34,3.381,119051.48,3.334393378224042,3.4017548606124066
1725588000,3.38,3.411,3.375,3.401,99477.77,3.3472932471651298,3.4149153329664452
1725591600,3.402,3.417,3.391,3.391,96340.39,3.3404034311237787,3.407886328722239
1725595200,3.391,3.399,3.376,3.381,65041.96,3.342588098856803,3.4101151311569406
1725598800,3.38,3.389,3.363,3.383,125730.62,3.337614670979326,3.4050412299890094
1725602400,3.384,3.387,3.367,3.383,75679.01,3.335410101296739,3.4027921235451584
1725606000,3.384,3.386,3.321,3.344,476182.49,3.2995245271879945,3.3661815883433075
1725609600,3.344,3.362,3.329,3.343,189225.58,3.298835339744092,3.3654784779207407
1725613200,3.342,3.347,3.327,3.334,347368.03,3.304617120416538,3.3713770622431345
1725616800,3.334,3.361,3.333,3.343,230235.74,3.321930620070655,3.3890403295670315
1725620400,3.342,3.35,3.333,3.342,199911.4,3.3109358302454726,3.3778234227756845
1725624000,3.343,3.41,3.33,3.408,564289.17,3.364898084033767,3.4328758231051557
1725627600,3.406,3.412,3.347,3.37,355910.32,3.30902256487714,3.375871505581729
1725631200,3.37,3.374,3.307,3.33,586331.53,3.2265303005869024,3.3265100674027597
1725634800,3.329,3.349,3.274,3.331,619194.87,3.1583010826891478,3.3242160667609095
1725638400,3.33,3.332,3.266,3.295,371558.54,3.1677235730591833,3.3256056994120393
1725642000,3.295,3.333,3.272,3.306,235791.46,3.1674028196607034,3.317189015505809
1725645600,3.306,3.308,3.247,3.249,230139.88,3.1393543034425195,3.2802245547255873
1725649200,3.248,3.274,3.226,3.251,414429.01,3.1560313259223607,3.290418228751717
1725652800,3.25,3.262,3.154,3.167,1265624.81,3.121676141504914,3.2478196827977044
1725656400,3.166,3.237,3.144,3.237,372424.1,3.177864418448557,3.299734648450608
1725660000,3.235,3.271,3.229,3.256,133122.42,3.175647208722558,3.2912323328618376
1725663600,3.256,3.281,3.254,3.274,82520.93,3.1994169312442278,3.3099441238009844
1725667200,3.273,3.307,3.27,3.303,223083.88,3.203315177320715,3.308353229549881
1725670800,3.303,3.308,3.276,3.283,121738.82,3.202928634227641,3.302621018799536
1725674400,3.285,3.3,3.28,3.287,81987.85,3.207776390253667,3.302553749909212
1725678000,3.288,3.304,3.285,3.288,34845.36,3.2142597965789044,3.304413677359832
1725681600,3.288,3.31,3.287,3.31,34719.84,3.2344227511667096,3.3205458041498472
1725685200,3.31,3.342,3.306,3.333,141276.74,3.248996909278557,3.3311278002201417
1725688800,3.335,3.338,3.322,3.333,88957.05,3.264131211703441,3.3424694993694515
1725692400,3.331,3.349,3.324,3.338,109000.41,3.26888802712459,3.3433731640156177
