交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
967,多头出场,开盘价,,,,,,,,,,,
967,多头进场,l,2024-12-30 18:00,4.994,,,,,,,,,
966,多头出场,s,2024-12-30 14:00,5.077,20.02,1.64,1.64,-86.76,14.16,1.64,1.64,0.14,0.14
966,多头进场,l,2024-12-30 12:00,4.995,20.02,1.64,1.64,-86.76,14.16,1.64,1.64,0.14,0.14
965,多头出场,s,2024-12-30 09:00,5.105,19.402,-0.95,-0.95,-88.41,-7.58,0.37,0.37,4.62,4.62
965,多头进场,l,2024-12-29 16:00,5.154,19.402,-0.95,-0.95,-88.41,-7.58,0.37,0.37,4.62,4.62
964,多头出场,s,2024-12-28 21:00,5.044,20.12,1.49,1.49,-87.46,13.47,1.49,1.49,0.16,0.16
964,多头进场,l,2024-12-28 15:00,4.970,20.12,1.49,1.49,-87.46,13.47,1.49,1.49,0.16,0.16
963,多头出场,s,2024-12-28 13:00,5.040,20.234,1.98,1.98,-88.94,21.86,1.98,1.98,0.75,0.75
963,多头进场,l,2024-12-28 05:00,4.942,20.234,1.98,1.98,-88.94,21.86,1.98,1.98,0.75,0.75
962,多头出场,s,2024-12-28 01:00,5.005,19.976,-0.02,-0.02,-90.93,-0.22,0.06,0.06,2.28,2.28
962,多头进场,l,2024-12-27 22:00,5.006,19.976,-0.02,-0.02,-90.93,-0.22,0.06,0.06,2.28,2.28
961,多头出场,s,2024-12-27 14:00,5.075,19.932,1.16,1.16,-90.91,14.57,1.16,1.16,0.78,0.78
961,多头进场,l,2024-12-27 10:00,5.017,19.932,1.16,1.16,-90.91,14.57,1.16,1.16,0.78,0.78
960,多头出场,s,2024-12-27 10:00,5.063,18.375,-6.96,-6.96,-92.06,-46.74,1.07,1.07,9.85,9.85
960,多头进场,l,2024-12-25 06:00,5.442,18.375,-6.96,-6.96,-92.06,-46.74,1.07,1.07,9.85,9.85
959,多头出场,s,2024-12-23 17:00,4.944,20.686,2.28,2.28,-85.10,18.02,2.28,2.28,0.21,0.21
959,多头进场,l,2024-12-23 14:00,4.834,20.686,2.28,2.28,-85.10,18.02,2.28,2.28,0.21,0.21
958,多头出场,s,2024-12-23 11:00,4.883,20.885,1.98,1.98,-87.37,18.64,1.98,1.98,0.92,0.92
958,多头进场,l,2024-12-23 09:00,4.788,20.885,1.98,1.98,-87.37,18.64,1.98,1.98,0.92,0.92
957,多头出场,s,2024-12-23 09:00,4.869,21.008,2.29,2.29,-89.36,27.42,3.21,3.21,1.45,1.45
957,多头进场,l,2024-12-23 03:00,4.760,21.008,2.29,2.29,-89.36,27.42,3.21,3.21,1.45,1.45
956,多头出场,s,2024-12-23 00:00,4.924,20.755,2.20,2.20,-91.65,35.76,2.20,2.20,0.17,0.17
956,多头进场,l,2024-12-22 22:00,4.818,20.755,2.20,2.20,-91.65,35.76,2.20,2.20,0.17,0.17
955,多头出场,s,2024-12-22 17:00,5.018,19.719,-1.05,-1.05,-93.85,-14.52,0.79,0.79,6.07,6.07
955,多头进场,l,2024-12-21 20:00,5.071,19.719,-1.05,-1.05,-93.85,-14.52,0.79,0.79,6.07,6.07
954,多头出场,s,2024-12-21 06:00,5.234,15.001,-21.48,-21.48,-92.80,-74.91,2.51,2.51,34.29,34.29
954,多头进场,l,2024-12-16 11:00,6.666,15.001,-21.48,-21.48,-92.80,-74.91,2.51,2.51,34.29,34.29
953,多头出场,s,2024-12-16 07:00,6.731,15.19,2.25,2.25,-71.32,8.51,2.25,2.25,2.73,2.73
953,多头进场,l,2024-12-16 04:00,6.583,15.19,2.25,2.25,-71.32,8.51,2.25,2.25,2.73,2.73
952,多头出场,s,2024-12-15 21:00,6.623,14.812,-1.90,-1.90,-73.57,-6.69,0.99,0.99,7.21,7.21
952,多头进场,l,2024-12-14 10:00,6.751,14.812,-1.90,-1.90,-73.57,-6.69,0.99,0.99,7.21,7.21
951,多头出场,s,2024-12-14 09:00,6.817,14.854,1.26,1.26,-71.67,4.67,1.37,1.37,2.02,2.02
951,多头进场,l,2024-12-14 01:00,6.732,14.854,1.26,1.26,-71.67,4.67,1.37,1.37,2.02,2.02
950,多头出场,s,2024-12-14 00:00,6.776,14.539,-1.48,-1.48,-72.94,-5.20,1.32,1.32,5.28,5.28
950,多头进场,l,2024-12-12 23:00,6.878,14.539,-1.48,-1.48,-72.94,-5.20,1.32,1.32,5.28,5.28
949,多头出场,s,2024-12-11 16:00,6.312,12.933,-18.36,-18.37,-71.45,-39.15,1.00,1.00,28.35,28.35
949,多头进场,l,2024-12-09 08:00,7.732,12.933,-18.36,-18.37,-71.45,-39.15,1.00,1.00,28.35,28.35
948,多头出场,s,2024-12-09 05:00,7.830,12.558,-1.67,-1.67,-53.09,-3.44,0.45,0.45,4.87,4.87
948,多头进场,l,2024-12-07 15:00,7.963,12.558,-1.67,-1.67,-53.09,-3.44,0.45,0.45,4.87,4.87
947,多头出场,s,2024-12-07 12:00,8.035,12.517,0.58,0.58,-51.42,1.20,0.98,0.98,1.05,1.05
947,多头进场,l,2024-12-07 08:00,7.989,12.517,0.58,0.58,-51.42,1.20,0.98,0.98,1.05,1.05
946,多头出场,s,2024-12-07 03:00,8.255,12.487,3.08,3.08,-51.99,6.87,3.08,3.08,0.24,0.24
946,多头进场,l,2024-12-07 01:00,8.008,12.487,3.08,3.08,-51.99,6.87,3.08,3.08,0.24,0.24
