交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
313,多头出场,开盘价,,,,,,,,,,,
313,多头进场,l,2024-12-31 06:00,0.11559,,,,,,,,,
312,多头出场,s,2024-12-31 06:00,0.11620,848.896,-1.36,-1.36,40.04,-0.96,0.11,0.11,2.33,2.33
312,多头进场,l,2024-12-31 04:00,0.11780,848.896,-1.36,-1.36,40.04,-0.96,0.11,0.11,2.33,2.33
311,多头出场,s,2024-12-31 04:00,0.11925,860.067,2.56,2.56,41.40,1.85,2.56,2.56,0.59,0.59
311,多头进场,l,2024-12-31 01:00,0.11627,860.067,2.56,2.56,41.40,1.85,2.56,2.56,0.59,0.59
310,多头出场,s,2024-12-31 01:00,0.11628,831.393,-3.33,-3.33,38.84,-2.34,0.10,0.10,5.89,5.89
310,多头进场,l,2024-12-29 19:00,0.12028,831.393,-3.33,-3.33,38.84,-2.34,0.10,0.10,5.89,5.89
309,多头出场,s,2024-12-28 21:00,0.11980,853.679,2.27,2.27,42.16,1.62,2.27,2.27,0.69,0.69
309,多头进场,l,2024-12-28 13:00,0.11714,853.679,2.27,2.27,42.16,1.62,2.27,2.27,0.69,0.69
308,多头出场,s,2024-12-27 14:00,0.11472,838.715,-3.78,-3.78,39.89,-2.63,0.48,0.48,6.94,6.94
308,多头进场,l,2024-12-26 10:00,0.11923,838.715,-3.78,-3.78,39.89,-2.63,0.48,0.48,6.94,6.94
307,多头出场,s,2024-12-26 01:00,0.12003,843.099,1.20,1.20,43.67,0.84,3.21,3.21,2.76,2.76
307,多头进场,l,2024-12-24 14:00,0.11861,843.099,1.20,1.20,43.67,0.84,3.21,3.21,2.76,2.76
306,多头出场,s,2024-12-23 17:00,0.11982,848.104,1.62,1.62,42.48,1.15,1.62,1.62,1.79,1.79
306,多头进场,l,2024-12-23 13:00,0.11791,848.104,1.62,1.62,42.48,1.15,1.62,1.62,1.79,1.79
305,多头出场,s,2024-12-23 11:00,0.11863,861.326,2.18,2.18,40.86,1.57,2.46,2.46,1.42,1.42
305,多头进场,l,2024-12-23 03:00,0.11610,861.326,2.18,2.18,40.86,1.57,2.46,2.46,1.42,1.42
304,多头出场,s,2024-12-22 18:00,0.12103,793.084,-4.01,-4.01,38.68,-2.81,0.95,0.95,8.67,8.67
304,多头进场,l,2024-12-21 17:00,0.12609,793.084,-4.01,-4.01,38.68,-2.81,0.95,0.95,8.67,8.67
303,多头出场,s,2024-12-20 21:00,0.12107,828.431,0.30,0.30,42.69,0.21,2.93,2.93,8.83,8.83
303,多头进场,l,2024-12-20 14:00,0.12071,828.431,0.30,0.30,42.69,0.21,2.93,2.93,8.83,8.83
302,多头出场,s,2024-12-20 10:00,0.12390,741.125,-8.17,-8.17,42.39,-5.43,0.58,0.58,14.96,14.96
302,多头进场,l,2024-12-19 03:00,0.13493,741.125,-8.17,-8.17,42.39,-5.43,0.58,0.58,14.96,14.96
301,多头出场,s,2024-12-19 02:00,0.13954,593.859,-17.13,-17.13,50.57,-10.22,1.77,1.77,19.97,19.97
301,多头进场,l,2024-12-12 23:00,0.16839,593.859,-17.13,-17.13,50.57,-10.22,1.77,1.77,19.97,19.97
300,多头出场,s,2024-12-12 10:00,0.16576,608.79,0.91,0.91,67.70,0.55,0.91,0.91,1.56,1.56
300,多头进场,l,2024-12-12 07:00,0.16426,608.79,0.91,0.91,67.70,0.55,0.91,0.91,1.56,1.56
299,多头出场,s,2024-12-11 21:00,0.16103,548.907,-11.61,-11.61,66.79,-6.51,0.73,0.73,18.45,18.45
299,多头进场,l,2024-12-09 14:00,0.18218,548.907,-11.61,-11.61,66.79,-6.51,0.73,0.73,18.45,18.45
298,多头出场,s,2024-12-09 13:00,0.18565,548.967,1.92,1.92,78.39,1.09,1.96,1.96,0.14,0.14
298,多头进场,l,2024-12-09 11:00,0.18216,548.967,1.92,1.92,78.39,1.09,1.96,1.96,0.14,0.14
297,多头出场,s,2024-12-09 06:00,0.18574,554.323,2.96,2.96,76.48,1.71,2.96,2.96,0.16,0.16
297,多头进场,l,2024-12-09 02:00,0.18040,554.323,2.96,2.96,76.48,1.71,2.96,2.96,0.16,0.16
296,多头出场,s,2024-12-08 04:00,0.17971,591.086,6.22,6.22,73.52,3.72,6.22,6.22,0.07,0.07
296,多头进场,l,2024-12-07 16:00,0.16918,591.086,6.22,6.22,73.52,3.72,6.22,6.22,0.07,0.07
295,多头出场,s,2024-12-07 06:00,0.17112,592.733,1.43,1.43,67.29,0.86,1.87,1.87,0.24,0.24
295,多头进场,l,2024-12-07 04:00,0.16871,592.733,1.43,1.43,67.29,0.86,1.87,1.87,0.24,0.24
294,多头出场,s,2024-12-07 01:00,0.16890,621.581,4.99,4.99,65.87,3.10,4.99,4.99,0.39,0.39
294,多头进场,l,2024-12-06 20:00,0.16088,621.581,4.99,4.99,65.87,3.10,4.99,4.99,0.39,0.39
293,多头出场,s,2024-12-06 03:00,0.16297,630.596,2.77,2.77,60.88,1.75,3.60,3.60,3.45,3.45
293,多头进场,l,2024-12-05 00:00,0.15858,630.596,2.77,2.77,60.88,1.75,3.60,3.60,3.45,3.45
292,多头出场,s,2024-12-04 05:00,0.15737,610.948,-3.86,-3.86,58.11,-2.38,0.45,0.45,9.97,9.97
292,多头进场,l,2024-12-02 11:00,0.16368,610.948,-3.86,-3.86,58.11,-2.38,0.45,0.45,9.97,9.97
291,多头出场,s,2024-12-01 20:00,0.16382,623.674,2.17,2.17,61.97,1.36,2.17,2.17,1.92,1.92
291,多头进场,l,2024-12-01 06:00,0.16034,623.674,2.17,2.17,61.97,1.36,2.17,2.17,1.92,1.92
290,多头出场,s,2024-11-30 02:00,0.15409,648.466,-0.08,-0.08,59.80,-0.05,0.56,0.56,0.78,0.78
290,多头进场,l,2024-11-29 22:00,0.15421,648.466,-0.08,-0.08,59.80,-0.05,0.56,0.56,0.78,0.78
289,多头出场,s,2024-11-29 21:00,0.15426,662.207,2.15,2.15,59.88,1.36,2.15,2.15,1.26,1.26
289,多头进场,l,2024-11-29 09:00,0.15101,662.207,2.15,2.15,59.88,1.36,2.15,2.15,1.26,1.26
288,多头出场,s,2024-11-29 05:00,0.15100,667.824,0.84,0.84,57.72,0.54,2.73,2.73,2.30,2.30
288,多头进场,l,2024-11-27 18:00,0.14974,667.824,0.84,0.84,57.72,0.54,2.73,2.73,2.30,2.30
287,多头出场,s,2024-11-27 04:00,0.14717,671.095,-1.23,-1.23,56.88,-0.78,0.15,0.15,5.38,5.38
287,多头进场,l,2024-11-26 15:00,0.14901,671.095,-1.23,-1.23,56.88,-0.78,0.15,0.15,5.38,5.38
286,多头出场,s,2024-11-25 16:00,0.15397,638.855,-1.64,-1.64,58.12,-1.02,0.88,0.88,8.02,8.02
286,多头进场,l,2024-11-24 02:00,0.15653,638.855,-1.64,-1.64,58.12,-1.02,0.88,0.88,8.02,8.02
285,多头出场,s,2024-11-23 05:00,0.15271,594.494,-9.21,-9.21,59.75,-5.45,1.30,1.30,13.77,13.77
285,多头进场,l,2024-11-19 21:00,0.16821,594.494,-9.21,-9.21,59.75,-5.45,1.30,1.30,13.77,13.77
284,多头出场,s,2024-11-18 09:00,0.15378,673.899,3.63,3.63,68.97,2.20,3.63,3.63,0.61,0.61
284,多头进场,l,2024-11-18 05:00,0.14839,673.899,3.63,3.63,68.97,2.20,3.63,3.63,0.61,0.61
283,多头出场,s,2024-11-17 11:00,0.14699,708.014,4.07,4.07,65.33,2.52,4.54,4.54,0.60,0.60
283,多头进场,l,2024-11-17 00:00,0.14124,708.014,4.07,4.07,65.33,2.52,4.54,4.54,0.60,0.60
282,多头出场,s,2024-11-16 05:00,0.14005,769.289,7.74,7.74,61.26,5.04,7.74,7.74,2.57,2.57
282,多头进场,l,2024-11-15 10:00,0.12999,769.289,7.74,7.74,61.26,5.04,7.74,7.74,2.57,2.57
281,多头出场,s,2024-11-15 00:00,0.12739,654.278,-16.65,-16.65,53.52,-9.78,3.25,3.25,20.33,20.33
281,多头进场,l,2024-11-11 12:00,0.15284,654.278,-16.65,-16.65,53.52,-9.78,3.25,3.25,20.33,20.33
280,多头出场,s,2024-11-09 16:00,0.11390,843.312,-3.95,-3.95,70.18,-2.27,1.25,1.25,9.71,9.71
280,多头进场,l,2024-11-07 14:00,0.11858,843.312,-3.95,-3.95,70.18,-2.27,1.25,1.25,9.71,9.71
279,多头出场,s,2024-11-07 09:00,0.12230,855.871,4.67,4.67,74.12,2.76,4.67,4.67,0.72,0.72
279,多头进场,l,2024-11-06 20:00,0.11684,855.871,4.67,4.67,74.12,2.76,4.67,4.67,0.72,0.72
278,多头出场,s,2024-11-05 22:00,0.10744,927.902,-0.31,-0.31,69.45,-0.18,1.35,1.35,6.21,6.21
