time,open,high,low,close,Volume,Plot,Plot.1
2023-11-14 09:00:00,1.19e-06,1.2e-06,1.16e-06,1.16e-06,1072361508897.0,1.1447766783e-06,1.2200978557e-06
2023-11-14 10:00:00,1.17e-06,1.18e-06,1.15e-06,1.17e-06,1419869376078.0,1.14694231e-06,1.2185150638e-06
2023-11-14 11:00:00,1.18e-06,1.18e-06,1.14e-06,1.16e-06,1441918088926.0,1.1408529861e-06,1.2083807605e-06
2023-11-14 12:00:00,1.16e-06,1.17e-06,1.14e-06,1.17e-06,732932095421.0,1.1403857408e-06,1.204416103e-06
2023-11-14 13:00:00,1.17e-06,1.19e-06,1.16e-06,1.19e-06,1204923646987.0,1.1446889408e-06,1.2056617325e-06
2023-11-14 14:00:00,1.18e-06,1.2e-06,1.18e-06,1.19e-06,1073182325856.0,1.1473856603e-06,1.20536906e-06
2023-11-14 15:00:00,1.2e-06,1.2e-06,1.16e-06,1.18e-06,1481198638136.0,1.1325178514e-06,1.1868196964e-06
2023-11-14 16:00:00,1.18e-06,1.19e-06,1.17e-06,1.19e-06,336342480145.0,1.1365848173e-06,1.1882948377e-06
2023-11-14 17:00:00,1.19e-06,1.19e-06,1.16e-06,1.17e-06,403004443864.0,1.1329095544e-06,1.1818195945e-06
2023-11-14 18:00:00,1.16e-06,1.17e-06,1.09e-06,1.11e-06,2541398948961.0,1.1060784224e-06,1.1513936141e-06
2023-11-14 19:00:00,1.11e-06,1.15e-06,1.1e-06,1.14e-06,846075163829.0,1.110065379e-06,1.1532257804e-06
2023-11-14 20:00:00,1.14e-06,1.16e-06,1.13e-06,1.15e-06,601097703235.0,1.1138209444e-06,1.1549220935e-06
2023-11-14 21:00:00,1.16e-06,1.16e-06,1.14e-06,1.15e-06,311031104026.0,1.1256556582e-06,1.1650802572e-06
2023-11-14 22:00:00,1.15e-06,1.17e-06,1.15e-06,1.15e-06,381279957964.0,1.1284458562e-06,1.1659592156e-06
2023-11-14 23:00:00,1.16e-06,1.17e-06,1.15e-06,1.15e-06,783268081774.0,1.1284946477e-06,1.1641042854e-06
2023-11-15 00:00:00,1.15e-06,1.17e-06,1.15e-06,1.15e-06,491156093350.0,1.1282553304e-06,1.1620506519e-06
2023-11-15 01:00:00,1.16e-06,1.16e-06,1.14e-06,1.15e-06,554804601078.0,1.1281768169e-06,1.1602561159e-06
2023-11-15 02:00:00,1.14e-06,1.16e-06,1.14e-06,1.16e-06,321284248229.0,1.1321377481e-06,1.1626983539e-06
2023-11-15 03:00:00,1.16e-06,1.17e-06,1.14e-06,1.15e-06,378919957235.0,1.1298633068e-06,1.1588180165e-06
2023-11-15 04:00:00,1.15e-06,1.17e-06,1.14e-06,1.17e-06,407496943828.0,1.1343513388e-06,1.1688032882e-06
2023-11-15 05:00:00,1.16e-06,1.17e-06,1.16e-06,1.16e-06,193936868268.0,1.1372706997e-06,1.1700593877e-06
2023-11-15 06:00:00,1.17e-06,1.18e-06,1.16e-06,1.17e-06,384445683598.0,1.138949574e-06,1.1701223424e-06
2023-11-15 07:00:00,1.17e-06,1.18e-06,1.16e-06,1.18e-06,559209724524.0,1.1345554044e-06,1.1783774416e-06
2023-11-15 08:00:00,1.17e-06,1.18e-06,1.17e-06,1.17e-06,994338976398.0,1.1434006368e-06,1.1853156617e-06
2023-11-15 09:00:00,1.17e-06,1.19e-06,1.17e-06,1.18e-06,696241381969.0,1.1448066534e-06,1.1846383879e-06
