交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
346,多头出场,s,2024-12-31 07:00,0.00001835,5580357.142,2.40,2.40,221.26,0.75,2.40,2.40,0.17,0.17
346,多头进场,l,2024-12-31 05:00,0.00001792,5580357.142,2.40,2.40,221.26,0.75,2.40,2.40,0.17,0.17
345,多头出场,s,2024-12-31 01:00,0.00001823,5617977.528,2.42,2.42,218.86,0.76,2.42,2.42,1.97,1.97
345,多头进场,l,2024-12-30 21:00,0.00001780,5617977.528,2.42,2.42,218.86,0.76,2.42,2.42,1.97,1.97
344,多头出场,s,2024-12-30 14:00,0.00001841,5353319.057,-1.45,-1.45,216.45,-0.45,0.43,0.43,4.98,4.98
344,多头进场,l,2024-12-29 20:00,0.00001868,5353319.057,-1.45,-1.45,216.45,-0.45,0.43,0.43,4.98,4.98
343,多头出场,s,2024-12-29 19:00,0.00001901,5408328.826,2.81,2.81,217.89,0.89,2.81,2.81,0.05,0.05
343,多头进场,l,2024-12-29 09:00,0.00001849,5408328.826,2.81,2.81,217.89,0.89,2.81,2.81,0.05,0.05
342,多头出场,s,2024-12-27 09:00,0.00001761,5285412.262,-6.92,-6.92,215.08,-2.15,0.74,0.74,9.94,9.94
342,多头进场,l,2024-12-25 18:00,0.00001892,5285412.262,-6.92,-6.92,215.08,-2.15,0.74,0.74,9.94,9.94
341,多头出场,s,2024-12-25 18:00,0.00001941,5238344.683,1.68,1.68,222.00,0.52,1.68,1.68,2.62,2.62
341,多头进场,l,2024-12-25 10:00,0.00001909,5238344.683,1.68,1.68,222.00,0.52,1.68,1.68,2.62,2.62
340,多头出场,s,2024-12-25 05:00,0.00001921,5230125.523,0.47,0.47,220.33,0.15,2.20,2.20,2.62,2.62
340,多头进场,l,2024-12-25 00:00,0.00001912,5230125.523,0.47,0.47,220.33,0.15,2.20,2.20,2.62,2.62
339,多头出场,s,2024-12-24 21:00,0.00001862,5524861.878,2.87,2.87,219.86,0.91,2.87,2.87,0.17,0.17
339,多头进场,l,2024-12-24 18:00,0.00001810,5524861.878,2.87,2.87,219.86,0.91,2.87,2.87,0.17,0.17
338,多头出场,s,2024-12-24 00:00,0.00001766,5668934.24,0.11,0.11,216.98,0.04,0.28,0.28,1.47,1.47
338,多头进场,l,2024-12-23 22:00,0.00001764,5668934.24,0.11,0.11,216.98,0.04,0.28,0.28,1.47,1.47
