交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
932,多头出场,开盘价,,,,,,,,,,,
932,多头进场,l,2024-12-29 20:00,0.00002206,,,,,,,,,
931,多头出场,s,2024-12-29 15:00,0.00002237,4551661.356,1.82,1.82,26.71,1.46,1.82,1.82,0.05,0.05
931,多头进场,l,2024-12-29 09:00,0.00002197,4551661.356,1.82,1.82,26.71,1.46,1.82,1.82,0.05,0.05
930,多头出场,s,2024-12-28 21:00,0.00002198,4618937.644,1.52,1.52,24.89,1.24,1.52,1.52,0.42,0.42
930,多头进场,l,2024-12-28 09:00,0.00002165,4618937.644,1.52,1.52,24.89,1.24,1.52,1.52,0.42,0.42
929,多头出场,s,2024-12-27 14:00,0.00002193,4306632.213,-5.56,-5.56,23.37,-4.31,0.47,0.47,8.35,8.35
929,多头进场,l,2024-12-25 18:00,0.00002322,4306632.213,-5.56,-5.56,23.37,-4.31,0.47,0.47,8.35,8.35
928,多头出场,s,2024-12-25 18:00,0.00002348,4308487.72,1.16,1.16,28.92,0.91,1.16,1.16,0.99,0.99
928,多头进场,l,2024-12-25 11:00,0.00002321,4308487.72,1.16,1.16,28.92,0.91,1.16,1.16,0.99,0.99
927,多头出场,s,2024-12-25 07:00,0.00002365,4329004.329,2.38,2.38,27.76,1.90,2.38,2.38,1.69,1.69
927,多头进场,l,2024-12-24 22:00,0.00002310,4329004.329,2.38,2.38,27.76,1.90,2.38,2.38,1.69,1.69
926,多头出场,s,2024-12-24 21:00,0.00002278,4524886.877,3.08,3.08,25.38,2.52,3.08,3.08,0.18,0.18
926,多头进场,l,2024-12-24 18:00,0.00002210,4524886.877,3.08,3.08,25.38,2.52,3.08,3.08,0.18,0.18
925,多头出场,s,2024-12-23 17:00,0.00002188,4686035.613,2.53,2.53,22.30,2.11,2.53,2.53,0.56,0.56
925,多头进场,l,2024-12-23 14:00,0.00002134,4686035.613,2.53,2.53,22.30,2.11,2.53,2.53,0.56,0.56
924,多头出场,s,2024-12-23 11:00,0.00002165,4712535.344,2.03,2.03,19.77,1.72,2.03,2.03,0.94,0.94
924,多头进场,l,2024-12-23 09:00,0.00002122,4712535.344,2.03,2.03,19.77,1.72,2.03,2.03,0.94,0.94
923,多头出场,s,2024-12-23 00:00,0.00002169,4692632.566,1.78,1.78,17.74,1.54,1.78,1.78,0,0.00
923,多头进场,l,2024-12-22 22:00,0.00002131,4692632.566,1.78,1.78,17.74,1.54,1.78,1.78,0,0.00
922,多头出场,s,2024-12-22 17:00,0.00002211,4482294.935,-0.90,-0.90,15.96,-0.77,0.85,0.85,6.41,6.41
922,多头进场,l,2024-12-21 20:00,0.00002231,4482294.935,-0.90,-0.90,15.96,-0.77,0.85,0.85,6.41,6.41
921,多头出场,s,2024-12-21 06:00,0.00002246,3522367.03,-20.89,-20.89,16.86,-15.16,0.49,0.49,34.73,34.73
921,多头进场,l,2024-12-14 15:00,0.00002839,3522367.03,-20.89,-20.89,16.86,-15.16,0.49,0.49,34.73,34.73
920,多头出场,s,2024-12-14 07:00,0.00002849,3478260.869,-0.90,-0.90,37.75,-0.65,1.77,1.77,4.56,4.56
920,多头进场,l,2024-12-12 21:00,0.00002875,3478260.869,-0.90,-0.90,37.75,-0.65,1.77,1.77,4.56,4.56
919,多头出场,s,2024-12-12 21:00,0.00002939,3448275.862,1.34,1.34,38.65,0.98,1.34,1.34,2.21,2.21
919,多头进场,l,2024-12-12 17:00,0.00002900,3448275.862,1.34,1.34,38.65,0.98,1.34,1.34,2.21,2.21
918,多头出场,s,2024-12-11 16:00,0.00002728,3831417.624,4.52,4.52,37.31,3.40,4.52,4.52,0.31,0.31
918,多头进场,l,2024-12-11 09:00,0.00002610,3831417.624,4.52,4.52,37.31,3.40,4.52,4.52,0.31,0.31
917,多头出场,s,2024-12-11 08:00,0.00002749,3174603.174,-12.73,-12.73,32.78,-8.75,3.37,3.37,23.24,23.24
917,多头进场,l,2024-12-08 16:00,0.00003150,3174603.174,-12.73,-12.73,32.78,-8.75,3.37,3.37,23.24,23.24
916,多头出场,s,2024-12-07 15:00,0.00003092,3256268.316,0.68,0.68,45.51,0.47,2.64,2.64,5.24,5.24
916,多头进场,l,2024-12-06 16:00,0.00003071,3256268.316,0.68,0.68,45.51,0.47,2.64,2.64,5.24,5.24
915,多头出场,s,2024-12-06 06:00,0.00003118,3263707.571,1.76,1.76,44.83,1.23,7.57,7.57,1.83,1.83
915,多头进场,l,2024-12-05 09:00,0.00003064,3263707.571,1.76,1.76,44.83,1.23,7.57,7.57,1.83,1.83
914,多头出场,s,2024-12-05 07:00,0.00003122,3447087.211,7.62,7.62,43.07,5.62,7.62,7.62,0.07,0.07
914,多头进场,l,2024-12-05 00:00,0.00002901,3447087.211,7.62,7.62,43.07,5.62,7.62,7.62,0.07,0.07
913,多头出场,s,2024-12-04 08:00,0.00002973,3466204.506,3.05,3.05,35.45,2.30,3.05,3.05,7.83,7.83
913,多头进场,l,2024-12-03 18:00,0.00002885,3466204.506,3.05,3.05,35.45,2.30,3.05,3.05,7.83,7.83
912,多头出场,s,2024-12-03 12:00,0.00002998,3240440.699,-2.85,-2.85,32.40,-2.11,5.74,5.74,8.52,8.52
912,多头进场,l,2024-12-02 07:00,0.00003086,3240440.699,-2.85,-2.85,32.40,-2.11,5.74,5.74,8.52,8.52
911,多头出场,s,2024-11-30 14:00,0.00002619,3841721.091,0.61,0.61,35.25,0.46,0.61,0.61,1.81,1.81
911,多头进场,l,2024-11-30 07:00,0.00002603,3841721.091,0.61,0.61,35.25,0.46,0.61,0.61,1.81,1.81
910,多头出场,s,2024-11-30 03:00,0.00002622,3831417.624,0.46,0.46,34.64,0.34,1.00,1.00,1.34,1.34
910,多头进场,l,2024-11-29 22:00,0.00002610,3831417.624,0.46,0.46,34.64,0.34,1.00,1.00,1.34,1.34
909,多头出场,s,2024-11-29 21:00,0.00002614,3874467.26,1.28,1.28,34.18,0.96,1.28,1.28,0.77,0.77
909,多头进场,l,2024-11-29 18:00,0.00002581,3874467.26,1.28,1.28,34.18,0.96,1.28,1.28,0.77,0.77
908,多头出场,s,2024-11-29 09:00,0.00002561,3952569.169,1.23,1.23,32.90,0.93,1.23,1.23,1.70,1.70
