交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
319,多头出场,s,2024-12-31 03:00,195.60,0.522,2.10,2.10,36.58,1.56,2.10,2.10,0.34,0.34
319,多头进场,l,2024-12-31 01:00,191.57,0.522,2.10,2.10,36.58,1.56,2.10,2.10,0.34,0.34
318,多头出场,s,2024-12-31 01:00,190.41,0.528,0.71,0.71,34.48,0.53,0.71,0.71,1.68,1.68
318,多头进场,l,2024-12-30 21:00,189.07,0.528,0.71,0.71,34.48,0.53,0.71,0.71,1.68,1.68
317,多头出场,s,2024-12-30 20:00,194.47,0.515,0.29,0.29,33.77,0.22,1.02,1.02,2.74,2.75
317,多头进场,l,2024-12-29 22:00,193.90,0.515,0.29,0.29,33.77,0.22,1.02,1.02,2.74,2.75
316,多头出场,s,2024-12-28 21:00,187.66,0.527,-0.92,-0.92,33.48,-0.69,0.07,0.07,3.52,3.52
316,多头进场,l,2024-12-27 21:00,189.41,0.527,-0.92,-0.92,33.48,-0.69,0.07,0.07,3.52,3.52
315,多头出场,s,2024-12-27 16:00,189.32,0.506,-4.09,-4.09,34.40,-2.95,1.38,1.38,5.98,5.99
315,多头进场,l,2024-12-25 18:00,197.40,0.506,-4.09,-4.09,34.40,-2.95,1.38,1.38,5.98,5.99
314,多头出场,s,2024-12-25 10:00,199.71,0.514,2.72,2.72,38.49,2.00,3.05,3.05,0.55,0.55
314,多头进场,l,2024-12-24 22:00,194.42,0.514,2.72,2.72,38.49,2.00,3.05,3.05,0.55,0.55
313,多头出场,s,2024-12-23 11:00,181.98,0.56,2.06,2.06,35.77,1.54,2.06,2.06,0.95,0.95
313,多头进场,l,2024-12-23 09:00,178.31,0.56,2.06,2.06,35.77,1.54,2.06,2.06,0.95,0.95
312,多头出场,s,2024-12-23 09:00,181.37,0.549,-0.29,-0.29,33.72,-0.21,0.29,0.29,2.97,2.97
312,多头进场,l,2024-12-23 02:00,181.89,0.549,-0.29,-0.29,33.72,-0.21,0.29,0.29,2.97,2.97
311,多头出场,s,2024-12-23 00:00,183.29,0.558,2.32,2.32,34.00,1.76,2.32,2.32,0.03,0.03
311,多头进场,l,2024-12-22 22:00,179.14,0.558,2.32,2.32,34.00,1.76,2.32,2.32,0.03,0.03
310,多头出场,s,2024-12-22 17:00,186.20,0.512,-4.56,-4.56,31.68,-3.34,0.44,0.44,8.82,8.83
310,多头进场,l,2024-12-21 17:00,195.10,0.512,-4.56,-4.56,31.68,-3.34,0.44,0.44,8.82,8.83
309,多头出场,s,2024-12-21 09:00,195.32,0.479,-6.41,-6.42,36.24,-4.50,1.26,1.26,16.02,16.03
309,多头进场,l,2024-12-19 16:00,208.71,0.479,-6.41,-6.42,36.24,-4.50,1.26,1.26,16.02,16.03
308,多头出场,s,2024-12-19 15:00,211.09,0.457,-3.37,-3.37,42.66,-2.31,0.84,0.84,8.71,8.73
308,多头进场,l,2024-12-18 09:00,218.46,0.457,-3.37,-3.37,42.66,-2.31,0.84,0.84,8.71,8.73
307,多头出场,s,2024-12-17 18:00,222.80,0.443,-1.23,-1.23,46.02,-0.84,0.07,0.07,6.30,6.30
307,多头进场,l,2024-12-16 09:00,225.58,0.443,-1.23,-1.23,46.02,-0.84,0.07,0.07,6.30,6.30
