交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
294,多头出场,开盘价,,,,,,,,,,,
294,多头进场,l,2024-12-31 08:00,4.0784,,,,,,,,,
293,多头出场,s,2024-12-31 00:00,4.0874,24.375,-0.37,-0.37,91.90,-0.19,1.23,1.23,3.81,3.81
293,多头进场,l,2024-12-30 15:00,4.1024,24.375,-0.37,-0.37,91.90,-0.19,1.23,1.23,3.81,3.81
292,多头出场,s,2024-12-30 14:00,4.1610,24.211,0.74,0.74,92.27,0.39,0.79,0.79,1.53,1.53
292,多头进场,l,2024-12-30 11:00,4.1303,24.211,0.74,0.74,92.27,0.39,0.79,0.79,1.53,1.53
291,多头出场,s,2024-12-30 09:00,4.1693,24.012,0.12,0.12,91.53,0.06,0.45,0.45,2.68,2.68
291,多头进场,l,2024-12-29 22:00,4.1645,24.012,0.12,0.12,91.53,0.06,0.45,0.45,2.68,2.68
290,多头出场,s,2024-12-29 22:00,4.2518,23.925,1.73,1.73,91.41,0.91,1.73,1.73,0.19,0.19
290,多头进场,l,2024-12-29 20:00,4.1796,23.925,1.73,1.73,91.41,0.91,1.73,1.73,0.19,0.19
289,多头出场,s,2024-12-29 00:00,4.1451,24.073,-0.21,-0.21,89.68,-0.11,0.44,0.44,4.23,4.23
289,多头进场,l,2024-12-28 04:00,4.1540,24.073,-0.21,-0.21,89.68,-0.11,0.44,0.44,4.23,4.23
288,多头出场,s,2024-12-28 01:00,4.2355,23.806,0.83,0.83,89.90,0.44,0.83,0.83,3.18,3.18
288,多头进场,l,2024-12-27 22:00,4.2005,23.806,0.83,0.83,89.90,0.44,0.83,0.83,3.18,3.18
287,多头出场,s,2024-12-27 16:00,4.2339,22.202,-5.99,-5.99,89.06,-3.07,5.40,5.40,7.90,7.90
287,多头进场,l,2024-12-24 17:00,4.5039,22.202,-5.99,-5.99,89.06,-3.07,5.40,5.40,7.90,7.90
286,多头出场,s,2024-12-24 00:00,4.3142,23.001,-0.77,-0.77,95.06,-0.39,0.89,0.89,5.49,5.49
286,多头进场,l,2024-12-23 12:00,4.3476,23.001,-0.77,-0.77,95.06,-0.39,0.89,0.89,5.49,5.49
285,多头出场,s,2024-12-23 11:00,4.4001,23.305,2.54,2.54,95.83,1.32,2.54,2.54,1.72,1.72
285,多头进场,l,2024-12-23 09:00,4.2909,23.305,2.54,2.54,95.83,1.32,2.54,2.54,1.72,1.72
284,多头出场,s,2024-12-23 09:00,4.4003,21.68,-4.60,-4.60,93.28,-2.32,1.22,1.22,9.72,9.72
284,多头进场,l,2024-12-21 22:00,4.6125,21.68,-4.60,-4.60,93.28,-2.32,1.22,1.22,9.72,9.72
283,多头出场,s,2024-12-20 23:00,4.2443,22.906,-2.78,-2.78,97.88,-1.38,0.09,0.09,20.01,20.01
283,多头进场,l,2024-12-20 00:00,4.3656,22.906,-2.78,-2.78,97.88,-1.38,0.09,0.09,20.01,20.01
282,多头出场,s,2024-12-19 19:00,4.5348,22.718,3.02,3.02,100.66,1.53,3.02,3.02,7.36,7.36
282,多头进场,l,2024-12-19 05:00,4.4017,22.718,3.02,3.02,100.66,1.53,3.02,3.02,7.36,7.36
281,多头出场,s,2024-12-18 22:00,4.5913,21.331,-2.06,-2.06,97.64,-1.03,0.47,0.47,5.12,5.12
281,多头进场,l,2024-12-18 00:00,4.6879,21.331,-2.06,-2.06,97.64,-1.03,0.47,0.47,5.12,5.12
280,多头出场,s,2024-12-17 20:00,4.7904,21.2,1.56,1.56,99.70,0.79,2.17,2.17,3.20,3.20
280,多头进场,l,2024-12-16 17:00,4.7169,21.2,1.56,1.56,99.70,0.79,2.17,2.17,3.20,3.20
279,多头出场,s,2024-12-15 21:00,4.5808,21.216,-2.81,-2.81,98.14,-1.40,2.80,2.80,7.71,7.71
279,多头进场,l,2024-12-14 02:00,4.7134,21.216,-2.81,-2.81,98.14,-1.40,2.80,2.80,7.71,7.71
278,多头出场,s,2024-12-13 19:00,4.7617,21.847,4.03,4.03,100.95,2.05,4.03,4.03,1.00,1.00
278,多头进场,l,2024-12-12 23:00,4.5772,21.847,4.03,4.03,100.95,2.05,4.03,4.03,1.00,1.00
277,多头出场,s,2024-12-11 20:00,3.7967,24.11,-8.46,-8.46,96.92,-4.12,0.07,0.07,19.23,19.23
277,多头进场,l,2024-12-09 14:00,4.1475,24.11,-8.46,-8.46,96.92,-4.12,0.07,0.07,19.23,19.23
276,多头出场,s,2024-12-09 10:00,4.2338,23.327,-1.23,-1.23,105.38,-0.60,0.42,0.42,3.86,3.86
276,多头进场,l,2024-12-08 12:00,4.2867,23.327,-1.23,-1.23,105.38,-0.60,0.42,0.42,3.86,3.86
275,多头出场,s,2024-12-08 10:00,4.3769,23.373,2.30,2.30,106.61,1.13,2.30,2.30,1.55,1.55
275,多头进场,l,2024-12-08 00:00,4.2784,23.373,2.30,2.30,106.61,1.13,2.30,2.30,1.55,1.55
274,多头出场,s,2024-12-07 12:00,4.2844,23.771,1.84,1.84,104.31,0.91,1.87,1.87,3.13,3.13
274,多头进场,l,2024-12-06 17:00,4.2068,23.771,1.84,1.84,104.31,0.91,1.87,1.87,3.13,3.13
273,多头出场,s,2024-12-05 20:00,3.9085,26.429,3.30,3.30,102.47,1.66,3.30,3.30,2.26,2.26
273,多头进场,l,2024-12-05 11:00,3.7837,26.429,3.30,3.30,102.47,1.66,3.30,3.30,2.26,2.26
272,多头出场,s,2024-12-05 11:00,3.9710,27.208,8.05,8.05,99.17,4.21,8.05,8.05,4.19,4.19
272,多头进场,l,2024-12-04 08:00,3.6753,27.208,8.05,8.05,99.17,4.21,8.05,8.05,4.19,4.19
271,多头出场,s,2024-12-03 07:00,3.3245,29.309,-2.56,-2.56,91.12,-1.32,1.43,1.43,6.85,6.85
271,多头进场,l,2024-12-02 08:00,3.4119,29.309,-2.56,-2.56,91.12,-1.32,1.43,1.43,6.85,6.85
270,多头出场,s,2024-12-02 07:00,3.4913,29.203,1.96,1.96,93.68,1.02,1.96,1.96,0.71,0.71
270,多头进场,l,2024-12-02 04:00,3.4243,29.203,1.96,1.96,93.68,1.02,1.96,1.96,0.71,0.71
269,多头出场,s,2024-12-01 23:00,3.5021,29.159,2.12,2.12,91.73,1.12,2.12,2.12,2.79,2.79
269,多头进场,l,2024-12-01 08:00,3.4294,29.159,2.12,2.12,91.73,1.12,2.12,2.12,2.79,2.79
268,多头出场,s,2024-11-30 23:00,3.4753,29.262,1.69,1.69,89.61,0.90,1.69,1.69,0.16,0.16
268,多头进场,l,2024-11-30 18:00,3.4174,29.262,1.69,1.69,89.61,0.90,1.69,1.69,0.16,0.16
267,多头出场,s,2024-11-30 17:00,3.4954,29.092,1.69,1.69,87.91,0.91,1.69,1.69,0.75,0.75
267,多头进场,l,2024-11-30 08:00,3.4373,29.092,1.69,1.69,87.91,0.91,1.69,1.69,0.75,0.75
266,多头出场,s,2024-11-29 23:00,3.5557,28.702,2.06,2.06,86.22,1.12,2.06,2.06,3.60,3.61
266,多头进场,l,2024-11-28 22:00,3.4840,28.702,2.06,2.06,86.22,1.12,2.06,2.06,3.60,3.61
265,多头出场,s,2024-11-28 09:00,3.5303,30.102,6.27,6.27,84.17,3.52,6.27,6.27,1.41,1.41
265,多头进场,l,2024-11-27 11:00,3.3220,30.102,6.27,6.27,84.17,3.52,6.27,6.27,1.41,1.41
264,多头出场,s,2024-11-26 20:00,3.1802,30.056,-4.42,-4.42,77.90,-2.42,0.76,0.76,10.67,10.67
264,多头进场,l,2024-11-25 21:00,3.3271,30.056,-4.42,-4.42,77.90,-2.42,0.76,0.76,10.67,10.67
263,多头出场,s,2024-11-25 13:00,3.4359,28.88,-0.77,-0.77,82.31,-0.42,3.12,3.12,9.41,9.41
263,多头进场,l,2024-11-24 00:00,3.4625,28.88,-0.77,-0.77,82.31,-0.42,3.12,3.12,9.41,9.41
262,多头出场,s,2024-11-23 13:00,3.5874,26.465,-5.06,-5.06,83.08,-2.69,0.74,0.74,12.05,12.05
262,多头进场,l,2024-11-20 16:00,3.7785,26.465,-5.06,-5.06,83.08,-2.69,0.74,0.74,12.05,12.05
261,多头出场,s,2024-11-20 09:00,3.7813,26.852,1.54,1.54,88.14,0.82,1.93,1.93,1.06,1.06
261,多头进场,l,2024-11-20 07:00,3.7240,26.852,1.54,1.54,88.14,0.82,1.93,1.93,1.06,1.06
260,多头出场,s,2024-11-20 07:00,3.7807,27.052,2.28,2.28,86.60,1.24,4.15,4.15,2.49,2.49
260,多头进场,l,2024-11-19 17:00,3.6965,27.052,2.28,2.28,86.60,1.24,4.15,4.15,2.49,2.49
259,多头出场,s,2024-11-19 13:00,3.7902,26.548,0.62,0.62,84.32,0.34,1.55,1.55,4.27,4.27
259,多头进场,l,2024-11-18 13:00,3.7667,26.548,0.62,0.62,84.32,0.34,1.55,1.55,4.27,4.27
258,多头出场,s,2024-11-18 09:00,3.8728,26.808,3.82,3.82,83.70,2.13,3.82,3.82,0.84,0.84
258,多头进场,l,2024-11-18 06:00,3.7302,26.808,3.82,3.82,83.70,2.13,3.82,3.82,0.84,0.84
257,多头出场,s,2024-11-17 21:00,3.7992,27.052,2.78,2.78,79.87,1.57,3.37,3.37,0,0.00
257,多头进场,l,2024-11-17 19:00,3.6965,27.052,2.78,2.78,79.87,1.57,3.37,3.37,0,0.00
256,多头出场,s,2024-11-17 16:00,3.7841,27.055,2.38,2.38,77.09,1.36,3.20,3.20,3.33,3.33
256,多头进场,l,2024-11-16 22:00,3.6961,27.055,2.38,2.38,77.09,1.36,3.20,3.20,3.33,3.33
255,多头出场,s,2024-11-16 04:00,3.4434,30.442,4.83,4.83,74.71,2.84,5.37,5.37,5.63,5.63
255,多头进场,l,2024-11-15 09:00,3.2849,30.442,4.83,4.83,74.71,2.84,5.37,5.37,5.63,5.63
254,多头出场,s,2024-11-15 00:00,3.3631,30.162,1.44,1.44,69.89,0.85,1.51,1.51,2.78,2.78
254,多头进场,l,2024-11-14 18:00,3.3154,30.162,1.44,1.44,69.89,0.85,1.51,1.51,2.78,2.78
253,多头出场,s,2024-11-13 18:00,3.1465,32.591,2.55,2.55,68.45,1.54,2.55,2.55,7.11,7.11
253,多头进场,l,2024-11-13 09:00,3.0683,32.591,2.55,2.55,68.45,1.54,2.55,2.55,7.11,7.11
252,多头出场,s,2024-11-13 06:00,3.2082,30.921,-0.80,-0.80,65.90,-0.48,1.73,1.73,12.69,12.69
252,多头进场,l,2024-11-11 23:00,3.2340,30.921,-0.80,-0.80,65.90,-0.48,1.73,1.73,12.69,12.69
251,多头出场,s,2024-11-11 08:00,3.1272,33.894,6.00,6.00,66.70,3.73,6.00,6.00,4.97,4.97
251,多头进场,l,2024-11-11 03:00,2.9503,33.894,6.00,6.00,66.70,3.73,6.00,6.00,4.97,4.97
250,多头出场,s,2024-11-09 16:00,2.3118,43.761,1.17,1.17,60.70,0.73,1.59,1.59,3.53,3.53
250,多头进场,l,2024-11-08 22:00,2.2851,43.761,1.17,1.17,60.70,0.73,1.59,1.59,3.53,3.53
249,多头出场,s,2024-11-08 22:00,2.3429,43.521,1.97,1.97,59.54,1.25,1.97,1.97,1.13,1.13
249,多头进场,l,2024-11-08 14:00,2.2977,43.521,1.97,1.97,59.54,1.25,1.97,1.97,1.13,1.13
248,多头出场,s,2024-11-08 13:00,2.3331,44.13,2.96,2.96,57.57,1.92,2.96,2.96,0.14,0.14
248,多头进场,l,2024-11-08 10:00,2.2660,44.13,2.96,2.96,57.57,1.92,2.96,2.96,0.14,0.14
247,多头出场,s,2024-11-08 08:00,2.3360,43.359,1.29,1.29,54.61,0.84,1.29,1.29,1.34,1.34
247,多头进场,l,2024-11-08 04:00,2.3063,43.359,1.29,1.29,54.61,0.84,1.29,1.29,1.34,1.34
246,多头出场,s,2024-11-07 23:00,2.2965,43.459,-0.20,-0.20,53.32,-0.13,1.86,1.86,4.04,4.04
246,多头进场,l,2024-11-07 09:00,2.3010,43.459,-0.20,-0.20,53.32,-0.13,1.86,1.86,4.04,4.04
245,多头出场,s,2024-11-07 09:00,2.3555,44.47,4.75,4.75,53.51,3.19,4.75,4.75,0.25,0.25
245,多头进场,l,2024-11-07 01:00,2.2487,44.47,4.75,4.75,53.51,3.19,4.75,4.75,0.25,0.25
244,多头出场,s,2024-11-05 11:00,1.8893,53.319,0.74,0.74,48.77,0.50,2.29,2.29,4.48,4.48
244,多头进场,l,2024-11-04 13:00,1.8755,53.319,0.74,0.74,48.77,0.50,2.29,2.29,4.48,4.48
243,多头出场,s,2024-11-04 05:00,1.9054,51.004,-2.82,-2.82,48.03,-1.87,0.61,0.61,9.64,9.65
243,多头进场,l,2024-11-02 11:00,1.9606,51.004,-2.82,-2.82,48.03,-1.87,0.61,0.61,9.64,9.65
242,多头出场,s,2024-11-02 10:00,2.0179,51.271,3.46,3.46,50.84,2.35,3.60,3.60,0.40,0.40
242,多头进场,l,2024-11-01 23:00,1.9504,51.271,3.46,3.46,50.84,2.35,3.60,3.60,0.40,0.40
241,多头出场,s,2024-11-01 21:00,2.0094,50.924,2.33,2.33,47.38,1.60,2.33,2.33,2.43,2.43
241,多头进场,l,2024-11-01 13:00,1.9637,50.924,2.33,2.33,47.38,1.60,2.33,2.33,2.43,2.43
240,多头出场,s,2024-11-01 10:00,1.9886,50.127,-0.32,-0.32,45.06,-0.22,0.45,0.45,2.91,2.91
240,多头进场,l,2024-11-01 01:00,1.9949,50.127,-0.32,-0.32,45.06,-0.22,0.45,0.45,2.91,2.91
239,多头出场,s,2024-11-01 00:00,2.0332,48.887,-0.60,-0.60,45.37,-0.41,0.80,0.80,3.23,3.23
239,多头进场,l,2024-10-31 17:00,2.0455,48.887,-0.60,-0.60,45.37,-0.41,0.80,0.80,3.23,3.23
238,多头出场,s,2024-10-31 06:00,2.0820,49.111,2.25,2.25,45.97,1.56,2.25,2.25,2.84,2.84
238,多头进场,l,2024-10-30 16:00,2.0362,49.111,2.25,2.25,45.97,1.56,2.25,2.25,2.84,2.84
237,多头出场,s,2024-10-29 06:00,1.7864,55.741,-0.42,-0.42,43.72,-0.29,1.16,1.16,10.91,10.91
237,多头进场,l,2024-10-27 17:00,1.7940,55.741,-0.42,-0.42,43.72,-0.29,1.16,1.16,10.91,10.91
236,多头出场,s,2024-10-27 16:00,1.8243,49.808,-9.13,-9.13,44.15,-5.96,0.04,0.04,18.31,18.31
236,多头进场,l,2024-10-24 21:00,2.0077,49.808,-9.13,-9.13,44.15,-5.96,0.04,0.04,18.31,18.31
235,多头出场,s,2024-10-23 23:00,1.9233,47.223,-9.18,-9.18,53.28,-5.65,0.38,0.38,11.90,11.90
235,多头进场,l,2024-10-21 13:00,2.1176,47.223,-9.18,-9.18,53.28,-5.65,0.38,0.38,11.90,11.90
234,多头出场,s,2024-10-20 18:00,2.0883,48.095,0.44,0.44,62.46,0.27,1.25,1.25,1.88,1.88
