time,open,high,low,close,Volume,Plot,Plot
1716807600,0.5284,0.5293,0.5267,0.528,7447895,0.5223595397694079,0.5329122577445473
1716811200,0.528,0.5295,0.5278,0.5294,7425611,0.5238396820563223,0.5344223018958438
1716814800,0.5295,0.535,0.5294,0.5326,18398167,0.526163246956219,0.5367928075007891
1716818400,0.5325,0.5369,0.5325,0.535,15952859,0.5305426866528177,0.5412607207266119
1716822000,0.535,0.5409,0.5348,0.5392,14245759,0.5370634814627416,0.5479132487650192
1716825600,0.5392,0.5408,0.5377,0.5391,11407223,0.5353514544301412,0.5461666353277199
1716829200,0.539,0.5403,0.5366,0.5377,8004447,0.5353091677215279,0.5461234943421648
1716832800,0.5377,0.5387,0.5362,0.5366,6291637,0.5335965208570341,0.5443762485511157
1716836400,0.5365,0.5371,0.5286,0.5317,13168905,0.5279462201461808,0.5386118003511541
1716840000,0.5316,0.5362,0.531,0.5353,7176954,0.5309280557112032,0.5416538750185002
1716843600,0.5352,0.5354,0.5335,0.5347,4253481,0.5318880917356383,0.5426333057100956
1716847200,0.5346,0.5366,0.5339,0.5355,3868381,0.5302422065338122,0.5409541703021721
1716850800,0.5355,0.5358,0.5335,0.534,4489786,0.5289587716150127,0.539644807405215
1716854400,0.5339,0.5348,0.5319,0.5329,12730769,0.528391035295869,0.5390656016654825
1716858000,0.5329,0.5355,0.5281,0.5296,18889384,0.5226226667484096,0.5331807004200947
1716861600,0.5295,0.5312,0.526,0.5309,17591164,0.5232976842775872,0.5338693546670334
1716865200,0.5309,0.5311,0.5254,0.5275,10204499,0.518700830870097,0.5291796355341393
1716868800,0.5274,0.5278,0.5211,0.5239,16244416,0.5167277262822433,0.5271666702475412
1716872400,0.5239,0.5255,0.5228,0.5255,7299096,0.5186568812350822,0.5291347980277101
1716876000,0.5255,0.526,0.5234,0.5256,13383916,0.518158236984846,0.5286260801562571
1716879600,0.5256,0.5282,0.5229,0.5264,22908091,0.5162364537299425,0.5266654729972141
1716883200,0.5263,0.5276,0.5256,0.5273,7188695,0.5198623692158317,0.530364639301
1716886800,0.5272,0.5282,0.5267,0.5276,6950025,0.5211821589908834,0.5317110914957497
1716890400,0.5275,0.5332,0.5273,0.5305,25979894,0.5232560815083843,0.5338269114378466
1716894000,0.5305,0.5328,0.5295,0.5305,16287449,0.5220358567375885,0.5325820356615802
1716897600,0.5304,0.5329,0.5289,0.5309,12939793,0.5209891667801976,0.5315142004525248
1716901200,0.5308,0.5336,0.5277,0.5292,19653610,0.518198399430135,0.5288586849280719
1716904800,0.5292,0.5308,0.5258,0.5281,14400901,0.51999105811485,0.5304959279757561
1716908400,0.528,0.5309,0.5263,0.5301,9750905,0.5233475460572597,0.5339202237553863
1716912000,0.53,0.5304,0.5273,0.5279,8793816,0.5186634264559047,0.529141475475216
1716915600,0.5278,0.5296,0.5252,0.5261,8026653,0.5195364909397674,0.5300321776254192
1716919200,0.5261,0.5274,0.5224,0.5248,11032170,0.5204006345462601,0.5309137786785078
1716922800,0.5248,0.528,0.5247,0.5271,5599384,0.5246215782701876,0.5352199939928176
1716926400,0.527,0.5289,0.5265,0.5271,5218254,0.5239796157995807,0.5345650625834107
1716930000,0.527,0.5283,0.5257,0.528,4361839,0.524561499035871,0.5351587010365958
1716933600,0.528,0.53,0.5279,0.5296,3963920,0.5261624672754639,0.5367920120689076
1716937200,0.5296,0.53,0.5286,0.5287,3071157,0.5244242087467853,0.5350186372063163
1716940800,0.5286,0.5294,0.5266,0.527,6534484,0.5250587916227095,0.5356660399383198
1716944400,0.527,0.5276,0.5249,0.5255,11480735,0.5254271433851853,0.5360418331505427
1716948000,0.5255,0.528,0.5249,0.5274,8727472,0.5261219339469206,0.5367506598852422
1716951600,0.5274,0.5292,0.5261,0.5288,9502871,0.5269130044203444,0.5375577115803513
1716955200,0.5288,0.5305,0.5282,0.5302,8505088,0.5269028149016234,0.5375473162127674
1716958800,0.5302,0.5312,0.5289,0.5302,8527564,0.5249557898726943,0.53556095734487
1716962400,0.5302,0.532,0.5288,0.5291,12361174,0.5243701075007894,0.5349634430058559
1716966000,0.529,0.5303,0.5251,0.526,27006794,0.5199822456970524,0.5304869375293162
1716969600,0.5259,0.5292,0.5215,0.529,36102549,0.5194476800657513,0.5299415725923322
1716973200,0.5289,0.5334,0.5274,0.5293,21325539,0.5196636190070505,0.530161873936486
1716976800,0.5293,0.5319,0.5286,0.5306,24730670,0.5204234643282967,0.5309370696682624
1716980400,0.5305,0.5334,0.5286,0.5291,20401044,0.5188760561244123,0.5293584006925822
1716984000,0.5292,0.5307,0.5275,0.5297,22956543,0.5199241364903444,0.5304276543992403
1716987600,0.5296,0.5322,0.5282,0.5295,16828542,0.519915987754931,0.5304193410429093
1716991200,0.5295,0.5308,0.5281,0.5294,9970208,0.5181442134504306,0.5290494076655754
1716994800,0.5294,0.5308,0.5274,0.528,10735965,0.5164871927308679,0.5276397645149373
1716998400,0.528,0.5283,0.5249,0.5273,13071876,0.5184203798230514,0.5290492416301622
1717002000,0.5272,0.5291,0.5255,0.5269,7342667,0.519174352010331,0.5296627227580145
