time,open,high,low,close,Volume,Plot,Plot
1725246000,0.547,0.5503,0.5467,0.5501,4656190,0.546836602031229,0.5578838061126679
1725249600,0.5501,0.5503,0.5447,0.5452,5236084,0.5438021752240059,0.5547880777537837
1725253200,0.5452,0.5511,0.5449,0.5498,5758214,0.546607342642991,0.5576499152216373
1725256800,0.5498,0.5509,0.5487,0.5499,9095991,0.5454686836419026,0.5564882530084058
1725260400,0.5499,0.5501,0.5443,0.5463,14642528,0.5438941070790567,0.5548818668180276
1725264000,0.5463,0.5526,0.5455,0.5504,7103265,0.5483467099242454,0.5594244212358463
1725267600,0.5503,0.5543,0.5487,0.5535,9080640,0.5513568188488582,0.5624953404417645
1725271200,0.5534,0.5576,0.5521,0.5569,14032402,0.5520801135696395,0.563233247177107
1725274800,0.5568,0.5568,0.5548,0.555,7736345,0.5511868889346337,0.5623219775999798
1725278400,0.5549,0.5561,0.554,0.5549,6015494,0.5507535707113257,0.5618799054731706
1725282000,0.5548,0.556,0.5526,0.5528,6550908,0.5486082446303997,0.559691239471418
1725285600,0.5528,0.5577,0.5509,0.5573,10725729,0.5524082778722617,0.5635680410616002
1725289200,0.5572,0.5603,0.5561,0.5583,5733819,0.5517812214399352,0.5629283168225602
1725292800,0.5582,0.5597,0.5555,0.5563,4174471,0.5498148442409038,0.5609222148316292
1725296400,0.5563,0.5609,0.5563,0.5608,4767935,0.5514640381743582,0.5626047258142443
1725300000,0.5608,0.5622,0.5596,0.5618,4780092,0.55145748808841,0.5625980434033273
1725303600,0.5617,0.568,0.5607,0.5679,8698226,0.5469988348690229,0.5671632475604048
1725307200,0.5678,0.5688,0.5644,0.5672,7208894,0.5528480352940504,0.5721912429159212
1725310800,0.5671,0.5688,0.5649,0.5665,5550730,0.5539547942345905,0.5723515371338642
1725314400,0.5664,0.5681,0.5658,0.5678,3638297,0.557421519965558,0.5749932097941652
1725318000,0.5678,0.5685,0.5671,0.5677,3626668,0.5560276501218031,0.572665900973435
1725321600,0.5677,0.5677,0.5656,0.5662,5963135,0.5578219786084131,0.5736674709616483
1725325200,0.5662,0.569,0.566,0.569,4700681,0.5596377018175771,0.5747292008898587
1725328800,0.5689,0.5724,0.5666,0.5667,8508020,0.5593545056924343,0.573674520793551
1725332400,0.5667,0.5681,0.5666,0.5667,4962099,0.5580997226836542,0.5716645377477861
1725336000,0.5666,0.567,0.5651,0.5659,5483248,0.5586030558659089,0.571493419563173
1725339600,0.5659,0.5676,0.5649,0.5675,4021476,0.5600731097082442,0.572344102976188
1725343200,0.5674,0.5674,0.5657,0.5661,4606406,0.5578571550122148,0.5694621189007502
1725346800,0.5661,0.5695,0.5656,0.5692,17000987,0.5604955687480292,0.5718187115510197
1725350400,0.5691,0.5696,0.5658,0.5668,5940208,0.5578363073712888,0.5691057277222239
1725354000,0.5668,0.572,0.5666,0.57,6756222,0.5591682382177484,0.5704645662625515
1725357600,0.57,0.5724,0.5688,0.5695,13267208,0.5614917109527585,0.572834977840693
1725361200,0.5695,0.5702,0.568,0.5701,4844629,0.5617577458375239,0.5731063871675749
1725364800,0.57,0.5723,0.57,0.5704,6334767,0.5626820450570268,0.5740493590985828
1725368400,0.5703,0.5704,0.5605,0.5625,16501138,0.5558173766875535,0.5670460105600293
1725372000,0.5624,0.565,0.5571,0.5616,19329177,0.5484784259437333,0.5611840598864032
1725375600,0.5615,0.5627,0.5589,0.5593,8387946,0.5492107044388098,0.5612901763241368
1725379200,0.5592,0.563,0.5586,0.56,9810038,0.5496054754991838,0.5610829114081944
1725382800,0.5599,0.5648,0.5599,0.5617,5401808,0.5499742053467107,0.561335952232487
1725386400,0.5617,0.5641,0.5607,0.5628,5008956,0.5526991552570957,0.563864794757239
1725390000,0.5628,0.5659,0.5623,0.5659,5110484,0.554202324676725,0.5655374515777011
1725393600,0.5659,0.5677,0.5648,0.5661,5014278,0.5564912739486576,0.5677335219072164
1725397200,0.566,0.5668,0.565,0.5661,2973171,0.556049626138573,0.5672829519191502
1725400800,0.566,0.5662,0.5629,0.563,4296271,0.553971596022362,0.5651629413965512
1725404400,0.563,0.563,0.5565,0.5572,5559130,0.5506598776158543,0.5617843195878919
1725408000,0.5572,0.5604,0.5516,0.5525,14381706,0.5475944868503475,0.5586570017362131
1725411600,0.5526,0.5528,0.5326,0.5501,67630660,0.544461456322474,0.555460677662322
1725415200,0.5502,0.5512,0.5489,0.5499,5524032,0.543422825165486,0.5544010640577182
1725418800,0.5498,0.5549,0.5497,0.553,8256563,0.5438497965249467,0.5548366611012083
1725422400,0.553,0.5538,0.5508,0.5537,3771496,0.5445853503648992,0.5555870746146951
1725426000,0.5536,0.5536,0.5497,0.55,6142691,0.5406063010977512,0.5515276405138675
1725429600,0.55,0.5529,0.5499,0.551,15975972,0.5412676963472061,0.5522023972835133
1725433200,0.5509,0.5556,0.5507,0.5545,7660381,0.5461174805715385,0.5571501569467212
1725436800,0.5546,0.5565,0.5542,0.5562,4892444,0.5468937546831505,0.5579421133636182
1725440400,0.5561,0.557,0.5529,0.553,12203911,0.5454910579157233,0.5565110792877581
1725444000,0.5531,0.5533,0.549,0.5494,12113661,0.5441189291557603,0.5551112307548666
1725447600,0.5494,0.5531,0.5494,0.5505,14056150,0.5453591288277885,0.5563764849657237
1725451200,0.5505,0.5517,0.549,0.5507,8479383,0.5456911921151489,0.5567152566023236
1725454800,0.5507,0.5543,0.5472,0.5537,16117439,0.5448168821468082,0.5558232838063397
1725458400,0.5536,0.5595,0.5516,0.5591,18717926,0.554681254054725,0.5658869359548204
1725462000,0.5592,0.563,0.557,0.5621,14767148,0.560458413083708,0.5717808052672173
1725465600,0.5621,0.5648,0.5601,0.5623,10292110,0.5625448385136828,0.5744401935589284
1725469200,0.5624,0.5626,0.5585,0.559,5918230,0.5574912885097815,0.5687537387827063
1725472800,0.559,0.5605,0.557,0.5572,3095530,0.5554228090206542,0.5666434718291523
1725476400,0.5572,0.5591,0.5564,0.5577,4306069,0.5579590566103305,0.570879508193602
1725480000,0.5578,0.559,0.5563,0.5571,4515312,0.5573667839338496,0.5708593915759325
1725483600,0.5571,0.5593,0.5558,0.5585,3462246,0.5579886320920393,0.5708131489078653
1725487200,0.5586,0.5612,0.5586,0.5598,7520433,0.5583846805348367,0.570569617645821
1725490800,0.5598,0.5605,0.5572,0.5579,2775574,0.5567570546685645,0.5682927099364574
1725494400,0.5579,0.5592,0.5572,0.5576,5812828,0.5567203340546899,0.5679672094901381
1725498000,0.5575,0.5598,0.5574,0.5585,8908854,0.55651712407678,0.5677598942601493
1725501600,0.5585,0.5589,0.5565,0.5568,5542041,0.5529623692449436,0.5641333261993869
1725505200,0.5568,0.5569,0.5517,0.5528,9014835,0.5473457913624697,0.558403282097065
1725508800,0.5529,0.5542,0.5523,0.5533,3358351,0.5476769298910757,0.5587411102929156
1725512400,0.5532,0.5539,0.5523,0.553,3428127,0.5472784674055678,0.5583345980602258
1725516000,0.553,0.554,0.5499,0.5518,14573288,0.5444882614640804,0.5554880243219406
1725519600,0.5518,0.5547,0.5513,0.5535,14622239,0.5466628527945494,0.557706546790399
1725523200,0.5535,0.5547,0.5509,0.552,4871300,0.5450874201501391,0.5560992872238794
1725526800,0.552,0.5521,0.5486,0.5493,9612963,0.5427412789919475,0.5537057492746131
1725530400,0.5493,0.5514,0.5485,0.5508,19049282,0.5424381283475395,0.5533964743747626
1725534000,0.5507,0.5513,0.5498,0.5502,5814225,0.541838960131732,0.5527852017505549
1725537600,0.5503,0.5532,0.5499,0.5517,11453438,0.541801277372701,0.5527467577236647
1725541200,0.5517,0.5544,0.5511,0.5537,10152636,0.5454506171688874,0.5564698215561378
1725544800,0.5537,0.5555,0.5497,0.55,13205713,0.5411314574911773,0.5520634061273627
1725548400,0.5499,0.5509,0.5454,0.546,15625803,0.5359738672821293,0.5468016221767178
1725552000,0.5461,0.5479,0.5399,0.5422,17341731,0.5394874567595339,0.5503861932597266
1725555600,0.5421,0.5468,0.5415,0.5467,8017823,0.5421820637394408,0.5531352367442779
1725559200,0.5467,0.5476,0.5453,0.5468,3393271,0.5417754286288295,0.5527203867829472
1725562800,0.5467,0.5476,0.54,0.5429,10406126,0.5372584936139055,0.5481122005556005
1725566400,0.5428,0.5452,0.5421,0.5432,4672341,0.5377774382063808,0.5486416288772168
1725570000,0.5432,0.5445,0.5411,0.5439,3605715,0.538489028299052,0.5493675945273158
1725573600,0.544,0.5453,0.5415,0.5448,7982495,0.5382127039571347,0.5490856878754606
1725577200,0.5447,0.545,0.5434,0.5444,3350785,0.5389777927130113,0.5498662329698398
1725580800,0.5445,0.5451,0.5418,0.5427,8649910,0.5389627258206522,0.5498508616958169
1725584400,0.5426,0.5454,0.5405,0.5452,12928577,0.5424975392918076,0.553457085540127
1725588000,0.5452,0.5473,0.5448,0.5463,6761271,0.5440267721424312,0.5550172119836925
1725591600,0.5462,0.5472,0.5457,0.5458,2908092,0.542479210629916,0.5534383866022375
1725595200,0.5458,0.5466,0.5443,0.5444,3222723,0.5423630674258494,0.5533198970708161
1725598800,0.5443,0.5457,0.5431,0.5453,3178663,0.5413182455392166,0.552253967671322
1725602400,0.5453,0.5456,0.5422,0.5435,5770808,0.5405361328574743,0.5514560547333829
1725606000,0.5435,0.5435,0.5323,0.5351,43479873,0.5342242864265442,0.545016696253343
1725609600,0.5351,0.5368,0.5341,0.5357,18874202,0.5336522124206395,0.5444330651968141
1725613200,0.5357,0.5376,0.535,0.537,10125548,0.5343950426523424,0.5451909020998645
1725616800,0.537,0.5383,0.5352,0.5374,12365253,0.5367094286418141,0.5475520433618508
1725620400,0.5374,0.5397,0.5362,0.5385,17566248,0.5346176818643047,0.5454180390736847
1725624000,0.5385,0.5453,0.537,0.5445,22051954,0.542827330694232,0.5537935393951254
1725627600,0.5444,0.5448,0.5368,0.5379,16451142,0.5333955159318833,0.5441711829204061
1725631200,0.5378,0.5379,0.5268,0.53,37341227,0.5223371104103928,0.5328893752671683
1725634800,0.53,0.532,0.5223,0.5264,26094090,0.5159182904995256,0.5263408822267888
1725638400,0.5263,0.527,0.5161,0.5197,23327491,0.5160000591971756,0.5264243028173206
1725642000,0.5197,0.5228,0.5152,0.5215,14234974,0.5146271888102718,0.5250236976751257
1725645600,0.5214,0.5219,0.5131,0.5132,13332297,0.5088293786401934,0.519108760026864
1725649200,0.5131,0.5178,0.5131,0.5156,15630346,0.5104048797688381,0.5207160894611378
1725652800,0.5155,0.5187,0.5047,0.5068,33684262,0.5040410357750182,0.5142236829623923
1725656400,0.5068,0.5198,0.5026,0.5194,24060079,0.5124695272748923,0.5228224470178193
1725660000,0.5194,0.5215,0.5177,0.5201,5958500,0.5114790854771742,0.521811996294895
