交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
834,多头出场,开盘价,,,,,,,,,,,
834,多头进场,l,2024-12-31 08:00,2.0309,,,,,,,,,
833,多头出场,s,2024-12-31 04:00,2.1276,48,2.28,2.29,66.92,1.39,2.28,2.29,0.66,0.66
833,多头进场,l,2024-12-31 01:00,2.0800,48,2.28,2.29,66.92,1.39,2.28,2.29,0.66,0.66
832,多头出场,s,2024-12-31 01:00,2.0852,45,-4.46,-4.54,64.64,-2.64,0.60,0.61,8.50,8.65
832,多头进场,l,2024-12-29 07:00,2.1843,45,-4.46,-4.54,64.64,-2.64,0.60,0.61,8.50,8.65
831,多头出场,s,2024-12-28 16:00,2.1726,46,1.33,1.35,69.10,0.79,1.33,1.35,0.47,0.48
831,多头进场,l,2024-12-28 05:00,2.1437,46,1.33,1.35,69.10,0.79,1.33,1.35,0.47,0.48
830,多头出场,s,2024-12-28 01:00,2.1539,46,-0.52,-0.52,67.77,-0.31,0.06,0.06,2.31,2.32
830,多头进场,l,2024-12-27 22:00,2.1651,46,-0.52,-0.52,67.77,-0.31,0.06,0.06,2.31,2.32
829,多头出场,s,2024-12-27 16:00,2.1691,43,-6.16,-6.19,68.28,-3.53,1.65,1.66,7.94,7.98
829,多头进场,l,2024-12-24 22:00,2.3123,43,-6.16,-6.19,68.28,-3.53,1.65,1.66,7.94,7.98
828,多头出场,s,2024-12-24 00:00,2.1661,45,-1.08,-1.09,74.44,-0.61,2.05,2.08,2.66,2.70
828,多头进场,l,2024-12-23 03:00,2.1900,45,-1.08,-1.09,74.44,-0.61,2.05,2.08,2.66,2.70
827,多头出场,s,2024-12-22 16:00,2.2408,44,-0.10,-0.10,75.51,-0.06,1.04,1.05,2.94,2.98
827,多头进场,l,2024-12-21 20:00,2.2430,44,-0.10,-0.10,75.51,-0.06,1.04,1.05,2.94,2.98
826,多头出场,s,2024-12-21 13:00,2.3253,45,4.71,4.71,75.61,2.75,4.71,4.71,11.73,11.74
826,多头进场,l,2024-12-20 16:00,2.2207,45,4.71,4.71,75.61,2.75,4.71,4.71,11.73,11.74
825,多头出场,s,2024-12-20 08:00,2.2961,44,1.76,1.78,70.90,1.04,1.76,1.78,1.42,1.43
